PAO1_ID,Name,Product.Name,PA14_ID
PA0001,dnaA,chromosomal replication initiator protein DnaA,PA14_00010
PA0002,dnaN,"DNA polymerase III, beta chain",PA14_00020
PA0003,recF,RecF protein,PA14_00030
PA0004,gyrB,DNA gyrase subunit B,PA14_00050
PA0005,lptA,"lysophosphatidic acid acyltransferase, LptA",PA14_00060
PA0006,,conserved hypothetical protein,PA14_00070
PA0007,,hypothetical protein,PA14_00080
PA0008,glyS,glycyl-tRNA synthetase beta chain,PA14_00090
PA0009,glyQ,glycyl-tRNA synthetase alpha chain,PA14_00100
PA0010,tag,DNA-3-methyladenine glycosidase I,PA14_00110
PA0011,htrB1,acyltransferase HtrB1,PA14_00120
PA0012,,hypothetical protein,PA14_00130
PA0013,,conserved hypothetical protein,PA14_00140
PA0014,,hypothetical protein,PA14_00150
PA0015,,hypothetical protein,PA14_00160
PA0016,trkA,potassium uptake protein TrkA,PA14_00170
PA0017,,conserved hypothetical protein,PA14_00180
PA0018,fmt,methionyl-tRNA formyltransferase,PA14_00190
PA0019,def,polypeptide deformylase,PA14_00200
PA0020,tsaP,T4P secretin-associated protein TsaP,PA14_00210
PA0021,,conserved hypothetical protein,PA14_00230
PA0022,,conserved hypothetical protein,PA14_00240
PA0023,qor,quinone oxidoreductase,PA14_00250
PA0024,hemF,"coproporphyrinogen III oxidase, aerobic",PA14_00280
PA0025,aroE,shikimate dehydrogenase,PA14_00290
PA0026,plcB,"phospholipase C, PlcB",PA14_00300
PA0027,,hypothetical protein,PA14_00310
PA0028,,hypothetical protein,PA14_00320
PA0029,,probable sulfate transporter,PA14_00340
PA0030,cosX,CosX,PA14_00360
PA0031,betC,choline sulfatase,PA14_00380
PA0032,,probable transcriptional regulator,PA14_00400
PA0033,hptC,Histidine phosphotransfer protein HptC,PA14_00420
PA0034,,probable two-component response regulator,PA14_00430
PA0035,trpA,tryptophan synthase alpha chain,PA14_00440
PA0036,trpB,tryptophan synthase beta chain,PA14_00450
PA0037,trpI,transcriptional regulator TrpI,PA14_00460
PA0038,,hypothetical protein,PA14_00470
PA0039,,hypothetical protein,PA14_00480
PA0040,,conserved hypothetical protein,PA14_00490
PA0041,,probable hemagglutinin,PA14_00510
PA0042,,hypothetical protein,PA14_00530
PA0043,,hypothetical protein,PA14_00550
PA0044,exoT,exoenzyme T,PA14_00560
PA0045,,hypothetical protein,PA14_00570
PA0046,,hypothetical protein,PA14_00580
PA0047,,hypothetical protein,PA14_00590
PA0048,,probable transcriptional regulator,PA14_00600
PA0049,,hypothetical protein,PA14_00620
PA0050,,hypothetical protein,PA14_00630
PA0051,phzH,potential phenazine-modifying enzyme,PA14_00640
PA0052,,hypothetical protein,PA14_00650
PA0053,,hypothetical protein,
PA0054,,conserved hypothetical protein,PA14_00660
PA0055,,hypothetical protein,PA14_00670
PA0056,,probable transcriptional regulator,PA14_00680
PA0057,,hypothetical protein,PA14_00690
PA0058,dsbM,DsbM,PA14_00700
PA0059,osmC,osmotically inducible protein OsmC,PA14_00710
PA0060,,conserved hypothetical protein,PA14_00720
PA0061,,hypothetical protein,PA14_00730
PA0062,,hypothetical protein,PA14_00740
PA0063,,hypothetical protein,PA14_00750
PA0064,,hypothetical protein,PA14_00760
PA0065,,hypothetical protein,PA14_00770
PA0066,,conserved hypothetical protein,PA14_00780
PA0067,prlC,oligopeptidase A,PA14_00790
PA0068,,hypothetical protein,PA14_00800
PA0069,,conserved hypothetical protein,PA14_00810
PA0070,tagQ1,TagQ1,PA14_00820
PA0071,tagR1,TagR1,PA14_00830
PA0072,tagS1,TagS1,PA14_00850
PA0073,tagT1,TagT1,PA14_00860
PA0074,ppkA,serine/threonine protein kinase PpkA,PA14_00875
PA0075,pppA,PppA,PA14_00890
PA0076,tagF1,TagF1,PA14_00900
PA0077,icmF1,IcmF1,PA14_00910
PA0078,tssL1,TssL1,PA14_00925
PA0079,tssK1,TssK1,PA14_00940
PA0080,tssJ1,TssJ1,PA14_00960
PA0081,fha1,Fha1,PA14_00980
PA0082,tssA1,TssA1,PA14_00990
PA0083,tssB1,TssB1,PA14_01010
PA0084,tssC1,TssC1,PA14_01020
