	Gene ID	Adj P-value (Real)	Rank (Real)	abs(log2FoldChange) (Real)	log2FoldChange (Real)	Median adj p-value (simulated)	Rank (simulated)	Percentile (simulated)	Percent DE (simulated)	Mean abs(log2FoldChange) (simulated)	Std deviation (simulated)	Number of experiments (simulated)	Z score	Gene Name
PA14_53300	PA14_53300	3.047746172079e-44	5886.0	3.82062088747931	-3.82062088747931	0.37635615076261797	5100.0	86.62928984029902	0.04	0.3288568774027371	0.28816685886644	25	12.117160258511687
PA14_19590	PA14_19590	1.0339152960867802e-11	5885.0	3.73935328181377	3.73935328181377	0.41850005796753703	5305.0	90.11213047910296	0.04	0.34407214494935945	0.27076449981608125	25	12.539609657730907
PA14_01720	PA14_01720	2.8883088571856495e-49	5884.0	3.6765466790490002	-3.6765466790490002	0.457294489305298	2910.0	49.42235813795447	0.04	0.2403040967103334	0.2797820158082276	25	12.281856546111912
PA14_21530	PA14_21530	1.43999534905979e-28	5883.0	3.27306066232098	-3.27306066232098	0.8088911403763109	4750.0	80.6829765545362	0.0	0.2827198119759361	0.2753805576370501	25	10.858939628869134
PA14_71110	PA14_71110	1.43256848532955e-07	5882.0	3.25274132620572	-3.25274132620572	0.978880080120869	3574.0	60.703363914373085	0.0	0.1932553901082494	0.17980301346981048	25	17.015765626259476
PA14_17710	PA14_17710	6.81917288567394e-40	5881.0	3.19751172793984	3.19751172793984	0.0557410068851398	5848.0	99.33741080530072	0.2	0.7836476606984739	0.46797139506300134	25	5.158144477861507
PA14_10500	PA14_10500	2.31567470377934e-30	5880.0	3.17365311293297	-3.17365311293297	0.0677567557689625	5522.0	93.79884471627591	0.0	0.3836507743400817	0.25679166741117393	25	10.864847628118502
PA14_17700	PA14_17700	2.4800361827451195e-52	5879.0	3.1310284152864396	3.1310284152864396	0.00611388605406962	5870.0	99.71117906897724	0.32	0.8672707818272072	0.5020932652782789	25	4.508639709008192
PA14_37290	PA14_37290		5878.0	3.090689216256	-3.090689216256	0.40278729293302795	5721.0	97.17974855589534	0.08	0.5043283245350161	0.493310745326254	25	5.24286348153734
PA14_33630	PA14_33630	2.8095159016945098e-21	5877.0	2.9909700883530004	2.9909700883530004	0.0490326896542138	5745.0	97.58749575263337	0.08	0.5095091719248637	0.3189240799249216	25	7.780726112033626
PA14_10490	PA14_10490	2.0841304285335603e-16	5876.0	2.9773483700844	-2.9773483700844	0.170595010489818	5389.0	91.53924566768605	0.0	0.31252707426818616	0.1941622803534753	25	13.724711570985196
PA14_33610	PA14_33610	1.2818351824804199e-14	5875.0	2.89532423620062	2.89532423620062	0.0164413392658613	5843.0	99.25246347264697	0.08	0.618550856114258	0.3674617065899704	25	6.195947330715697
PA14_33270	PA14_33270	6.105830311577691e-13	5874.0	2.8574561220419903	2.8574561220419903	0.0602224090753812	5878.0	99.84709480122325	0.24	0.7485207406329198	0.40205921978431186	25	5.245335208431302
PA14_33280	PA14_33280	4.2269892599051293e-13	5873.0	2.84850101709671	2.84850101709671	0.011384759701256998	5847.0	99.32042133876998	0.08	0.654478558814208	0.3216331108160559	25	6.821506817863905
PA14_39960	PA14_39960	1.0987442051013698e-09	5872.0	2.81315995388822	-2.81315995388822	0.0211600099332214	5575.0	94.69928644240571	0.2	0.676404200819548	0.5889264574323879	25	3.6282217008631914
PA14_37270	PA14_37270		5871.0	2.7441213622237797	-2.7441213622237797	0.38502142795587896	5612.0	95.3278967040435	0.12	0.525459913445436	0.5811395511435838	25	3.817777407186269
PA14_37470	PA14_37470	0.0552914670026571	5870.0	2.6448322383516403	2.6448322383516403	0.8115951017844151	5141.0	87.32585796805981	0.04	0.3407811220020291	0.34808148341540074	25	6.619286650189188
PA14_34720	PA14_34720	1.1218596826295e-08	5869.0	2.63683327907804	2.63683327907804	0.417288016076582	5494.0	93.32313965341488	0.0	0.3863153342338556	0.23951482895170856	25	9.396152859069693
PA14_39970	PA14_39970	7.749035120791319e-06	5868.0	2.60158651872107	-2.60158651872107	0.0034105603715803698	5856.0	99.47332653754673	0.24	0.6829300952265415	0.5535495151141923	25	3.466097198366666
PA14_37460	PA14_37460	0.000310560708330553	5867.0	2.5841093677852203	2.5841093677852203	0.883220243864215	3226.0	54.79102956167176	0.04	0.23664804625583383	0.24697212124057352	25	9.504964810350977
PA14_33510	PA14_33510	1.27505751244548e-13	5866.0	2.58359840379837	2.58359840379837	0.0378412441536366	5869.0	99.69418960244649	0.16	0.7376069132591029	0.43802660411054056	25	4.214336465447683
PA14_37310	PA14_37310	0.0679642205712027	5865.0	2.58116651149734	-2.58116651149734	0.525446976979352	5507.0	93.54400271831464	0.08	0.47581430898593596	0.5106356525512696	25	4.123002755472541
PA14_39945	PA14_39945	9.363513695279591e-07	5864.0	2.57199917816306	-2.57199917816306	0.0506864603003573	5499.0	93.40808698606864	0.16	0.5706234422246087	0.5370490701758552	25	3.7266161456775375
PA14_37200	PA14_37200		5863.0	2.53643047707182	-2.53643047707182	0.7468226119177142	4074.0	69.19809717974856	0.04	0.2843354722166912	0.39976459190478	25	5.633552972074015
PA14_42480	PA14_42480	0.000144448050842549	5862.0	2.53467843567874	-2.53467843567874	0.7176091116941941	4012.0	68.14475025484201	0.04	0.2615532356480432	0.26271654685910234	25	8.652386867926511
PA14_33650	PA14_33650	1.2984747080539198e-20	5861.0	2.49950818351155	2.49950818351155	0.0188003205138297	5834.0	99.0995582738702	0.08	0.5758266809774254	0.2887737536818888	25	6.6615524368368995
PA14_33830	PA14_33830	7.9696956094777e-27	5860.0	2.48040073714385	2.48040073714385	0.157686520252857	5765.0	97.92728508324839	0.04	0.5310145810102385	0.2842230629966311	25	6.85864875137426
PA14_23760	PA14_23760	1.94800741894366e-08	5859.0	2.4204772590704904	2.4204772590704904	0.435600322770197	3515.0	59.70098538905878	0.0	0.25998686904993806	0.26320316819425243	25	8.208451307189588
PA14_63960	PA14_63960	9.506538814112128e-23	5858.0	2.40769950041786	2.40769950041786	0.0838295562930025	5697.0	96.77200135915733	0.12	0.5511092082148763	0.41721033707254873	25	4.450010287928559
