	corr to exoS	gene name	label
PA0001	-0.040326316623558914	dnaA	core
PA0002	0.0657118059208405	dnaN	core
PA0003	0.017391808152612903	recF	core
PA0004	0.08401223219730661	gyrB	core
PA0005	-0.10395467312466518	lptA	core
PA0006	-0.054695407825010235		core
PA0007	0.019189087009453727		core
PA0008	-0.0237981392995202	glyS	core
PA0009	-0.04206662457023914	glyQ	core
PA0010	-0.033780365477055666	tag	core
PA0011	-0.02793028934769004	htrB1	core
PA0012	-0.035185947793029235		core
PA0013	-0.12073065169980868		core
PA0014	-0.0028328152685514387		core
PA0015	0.09587846008170584		core
PA0016	-0.03880337927713909	trkA	core
PA0017	-0.07359694034173889		core
PA0018	-0.0509412288647551	fmt	core
PA0019	-0.02841274258950283	def	core
PA0020	0.04239297995836756	tsaP	core
PA0021	-0.08048530738960871		core
PA0022	-0.07126416955758495		core
PA0023	0.273002910683111	qor	core
PA0024	0.0006167230227780465	hemF	core
PA0025	0.019218674610988782	aroE	core
PA0026	0.08501415377943324	plcB	core
PA0027	0.04396674980521068		core
PA0028	0.08849842799187074		core
PA0029	-0.106362255556005		core
PA0030	-0.1035981954450694	cosX	core
PA0031	-0.07570994404741442	betC	core
PA0032	0.12819656963160544		core
PA0033	-0.06416624502963215	hptC	core
PA0034	-0.044853883538550715		core
PA0035	0.02849537602082628	trpA	core
PA0036	0.07952825654993498	trpB	core
PA0037	-0.08856109671858722	trpI	core
PA0038	0.06603051336232182		core
PA0039	-0.0009793090472970476		core
PA0040	-0.08864281271497135		core
PA0041	0.003261151875841125		core
PA0042	-0.034323944801711005		core
PA0043	0.040131909405169364		core
PA0044	0.8636911197787869	exoT	core
PA0045	-0.001455277924829913		core
PA0046	-0.01625248668191491		core
PA0047	-0.05465447624269257		core
PA0048	-0.06424916021609706		core
PA0049	-0.031496246867371784		core
PA0050	0.008083134945655272		core
PA0051	-0.0396627598406297	phzH	core
PA0052	0.03187174062278725		core
PA0053	0.12785080368930035		acc
PA0054	-0.150672346397453		core
PA0055	0.053577992146430865		core
PA0056	-0.12164633501718815		core
PA0057	-0.06023149991349265		core
PA0058	-0.08892506997451044	dsbM	core
PA0059	0.07119016594527504	osmC	core
PA0060	-0.003918305625921037		core
PA0061	-0.05197304414924287		core
PA0062	-0.02038317516530019		core
PA0063	-0.11000559609888988		core
PA0064	-0.04011948744381251		core
PA0065	-0.009313427418150196		core
PA0066	-0.035707720974063537		core
PA0067	0.062308184249222576	prlC	core
PA0068	0.009131265186108826		core
PA0069	-0.053187797228852224		core
PA0070	0.07240711848408947	tagQ1	core
PA0071	0.07237904010724029	tagR1	core
