	module id
PA0001	14.0
PA0002	2.0
PA0003	3.0
PA0004	2.0
PA0005	10.0
PA0006	11.0
PA0007	19.0
PA0008	13.0
PA0009	13.0
PA0010	1.0
PA0011	11.0
PA0012	9.0
PA0013	3.0
PA0014	11.0
PA0015	1.0
PA0016	1.0
PA0017	1.0
PA0018	1.0
PA0019	0.0
PA0020	9.0
PA0021	1.0
PA0022	6.0
PA0023	1.0
PA0024	16.0
PA0025	16.0
PA0026	1.0
PA0027	1.0
PA0028	1.0
PA0029	1.0
PA0030	1.0
PA0031	1.0
PA0032	1.0
PA0033	1.0
PA0034	11.0
PA0035	5.0
PA0036	5.0
PA0037	1.0
PA0038	4.0
PA0039	4.0
PA0040	1.0
PA0041	1.0
PA0042	3.0
PA0043	1.0
PA0044	8.0
PA0045	6.0
PA0046	6.0
PA0047	6.0
PA0048	6.0
PA0049	8.0
PA0050	4.0
PA0051	1.0
PA0052	4.0
PA0053	28.0
PA0054	1.0
PA0055	3.0
PA0056	1.0
PA0057	1.0
PA0058	1.0
PA0059	18.0
PA0060	18.0
PA0061	1.0
PA0062	1.0
PA0063	1.0
PA0064	1.0
PA0065	1.0
PA0066	1.0
PA0067	26.0
PA0068	26.0
PA0069	1.0
PA0070	6.0
PA0071	8.0
PA0072	1.0
PA0073	1.0
PA0074	1.0
PA0075	1.0
PA0076	5.0
PA0077	1.0
PA0078	1.0
PA0079	1.0
PA0080	1.0
PA0081	5.0
PA0082	6.0
PA0083	9.0
PA0084	6.0
PA0085	6.0
PA0086	6.0
PA0087	6.0
PA0088	1.0
PA0089	1.0
PA0090	6.0
PA0091	1.0
PA0092	6.0
PA0093	1.0
PA0094	9.0
PA0095	1.0
PA0096	1.0
PA0097	1.0
PA0098	1.0
PA0099	12.0
PA0100	1.0
PA0101	1.0
PA0102	30.0
PA0103	1.0
PA0104	1.0
PA0105	4.0
PA0106	4.0
PA0107	4.0
PA0108	4.0
PA0109	4.0
PA0110	4.0
PA0111	4.0
PA0112	1.0
PA0113	4.0
PA0114	3.0
PA0115	1.0
PA0116	1.0
PA0117	1.0
PA0118	3.0
PA0119	1.0
PA0120	1.0
PA0121	1.0
PA0122	21.0
PA0123	19.0
PA0124	11.0
PA0125	11.0
PA0126	6.0
PA0127	1.0
PA0128	28.0
PA0129	1.0
PA0130	26.0
PA0131	26.0
PA0132	26.0
PA0133	1.0
PA0134	1.0
PA0135	3.0
PA0136	1.0
PA0137	1.0
PA0138	1.0
PA0139	26.0
PA0140	26.0
PA0141	7.0
PA0142	1.0
PA0143	1.0
PA0144	1.0
PA0145	1.0
PA0146	1.0
PA0147	1.0
PA0148	3.0
PA0149	1.0
PA0150	1.0
PA0151	1.0
PA0152	1.0
PA0153	3.0
PA0154	1.0
