	corr to exoS	gene name	label
PA0001	-0.002313011639173201	dnaA	core
PA0002	0.114962719488282	dnaN	core
PA0003	-0.024771415513781782	recF	core
PA0004	0.08357283257041248	gyrB	core
PA0005	0.0007126734325639206	lptA	core
PA0006	0.07457735076244014		core
PA0007	-0.06111751201898805		core
PA0008	-0.03223011701026988	glyS	core
PA0009	0.02637539005861461	glyQ	core
PA0010	-0.01965930799827754	tag	core
PA0011	0.06823044665416157	htrB1	core
PA0012	-0.05386225301103119		core
PA0013	-0.04009483862303197		core
PA0014	0.020329650826892292		core
PA0015	0.09794630076478164		core
PA0016	-0.07708370638143719	trkA	core
PA0017	-0.13731096565105289		core
PA0018	-0.06763173540520967	fmt	core
PA0019	0.045831034832511705	def	core
PA0020	0.10156994692198926	tsaP	core
PA0021	-0.058133929105691914		core
PA0022	0.038911555062910004		core
PA0023	0.0874455091048454	qor	core
PA0024	0.013313567839602808	hemF	core
PA0025	0.021769584045282727	aroE	core
PA0026	0.07012677822754389	plcB	core
PA0027	-0.012466828028765826		core
PA0028	0.06447936068638266		core
PA0029	0.05407493910578983		core
PA0030	-0.02357574673874355	cosX	core
PA0031	0.010667074425506122	betC	core
PA0032	0.05921774107759591		core
PA0033	-0.06582817034339009	hptC	core
PA0034	-0.016541559836947183		core
PA0035	0.04584701618291774	trpA	core
PA0036	0.11084117325233772	trpB	core
PA0037	0.0344745635870611	trpI	core
PA0038	0.01824615397655351		core
PA0039	0.0956727155156062		core
PA0040	-0.05371068069152705		core
PA0041	-0.05967277890460763		core
PA0042	-0.0006458405643845294		core
PA0043	0.06899657970878666		core
PA0044	0.6410886583406551	exoT	core
PA0045	-0.008108635546471222		core
PA0046	-0.01915379921896284		core
PA0047	-0.055076336482777814		core
PA0048	-0.008227963928073146		core
PA0049	-0.06441377892650578		core
PA0050	0.0083416705091218		core
PA0051	-0.02959647984752605	phzH	core
PA0052	0.043834255168456016		core
PA0053	0.0820555607339054		acc
PA0054	-0.1094964865316066		core
PA0055	0.1248198584746369		core
PA0056	-0.04759408234245499		core
PA0057	0.02734493706608693		core
PA0058	0.010250595093563035	dsbM	core
PA0059	-0.0316942972697011	osmC	core
PA0060	0.0597634786965153		core
PA0061	0.05199789186526571		core
PA0062	0.012274570389570073		core
PA0063	-0.1176008717011497		core
PA0064	-0.007576833923494374		core
PA0065	0.05990891882077561		core
PA0066	0.032564041384627006		core
PA0067	-0.04042708683856343	prlC	core
PA0068	-0.06651459268621321		core
PA0069	-0.08715095674661702		core
PA0070	-0.07301680860664399	tagQ1	core
PA0071	0.004731056952595474	tagR1	core
PA0072	-0.10431495709715052	tagS1	core
PA0073	-0.11937899943997902	tagT1	core
PA0074	-0.04938851680913109	ppkA	core
PA0075	-0.059116191524538224	pppA	core
PA0076	-0.07734470560632263	tagF1	core
PA0077	-0.06544380970085631	icmF1	core
PA0078	-0.08921922950677838	tssL1	core
PA0079	-0.10019947342418743	tssK1	core
PA0080	-0.03858810507063527	tssJ1	core
PA0081	-0.0543403539392355	fha1	core
PA0082	-0.04286481701976305	tssA1	core
PA0083	-0.0815343029575388	tssB1	core
PA0084	-0.07955482438256863	tssC1	core
PA0085	-0.07707631213123924	hcp1	core
PA0086	-0.17311672260564626	tagJ1	core
PA0087	-0.14879501393808542	tssE1	core
PA0088	-0.17235366802238367	tssF1	core
PA0089	-0.163011809506086	tssG1	core
PA0090	-0.08070148453590294	clpV1	core
PA0091	-0.1402271286818106	vgrG1	core
PA0092	0.1883635086028091	tsi6	core
PA0093	-0.04336907638905948	tse6	core
PA0094	-0.023975780774572544	eagT6	core
PA0095	-0.008398828393608901		acc
PA0096	0.03937801342102736		core
PA0097	-0.11087031300984138		core
PA0098	0.07914214993751705		core
PA0099	0.228112289624928		core
PA0100	0.32780108438960565		acc-module
PA0101	-0.025322040165463928		core
PA0102	0.08882809808664673		core
PA0103	0.012654951261843498		core
PA0104	-0.002830604197882017		core
PA0105	-0.058064637738215616	coxB	core
PA0106	0.00047230750730580304	coxA	core
PA0107	0.012011419376847642		core
PA0108	0.03884370851366775	coIII	core
PA0109	-0.0431237178107736		core
PA0110	-0.055727202410515764		core
PA0111	-0.01167931137337105		core
PA0112	-0.023629853042967372		core
PA0113	0.11200272651659744		core
PA0114	0.02683278043997908	senC	core
PA0115	0.07824239669736398		core
PA0116	0.10542858609611183		core
PA0117	0.06957820291944537		core
PA0118	0.11105395933599213		core
PA0119	0.1255684039576354		core
PA0120	0.012574515161864206		core
PA0121	0.10932213605014983		core
PA0122	-0.03495405746589999	rahU	core
PA0123	0.007752880645087888		core
PA0124	0.002228457691268372		core
PA0125	0.00015073177427302542		core
PA0126	-0.11951350794670045		core
PA0127	0.011668278553679395		core
PA0128	-0.04091675135920681		core
PA0129	0.01596828405379868	bauD	core
PA0130	0.10061887794797876	bauC	core
PA0131	0.10580172187749023	bauB	core
PA0132	0.0730557006127321	bauA	core
PA0133	0.07547223024547428	bauR	core
PA0134	0.049053229640385186		core
PA0135	0.002344570801383839		acc
PA0136	0.0318800669911338		core
PA0137	0.0476639474575579		core
PA0138	0.02247720048118785		core
PA0139	0.05290020862905579	ahpC	core
PA0140	-0.01885492925895932	ahpF	core
PA0141	0.024770996210879782		core
PA0142	-0.06911398098158666		core
PA0143	0.05950838896703786	nuh	core
PA0144	0.03053700767392008		core
PA0145	0.013687174818833187		core
PA0146	0.032505379359830985		core
PA0147	0.0028942020581575532		core
PA0148	-0.03939614593070392		core
PA0149	-0.08867751292250821		core
PA0150	-0.06995732510624487		core
PA0151	0.037842954466495736		core
PA0152	-0.041505460893893766	pcaQ	core
PA0153	-0.06551876905110725	pcaH	core
PA0154	-0.06805988921389076	pcaG	core
PA0155	0.03689289080890412	pcaR	core
PA0156	0.058316017969213124	triA	core
PA0157	0.04182800799613727	triB	core
PA0158	0.0863865976688116	triC	core
PA0159	0.1114750841257615		core
PA0160	-0.02789186157269163		core
PA0161	-0.15025181983761893		core
PA0162	-0.011929847083982972	opdC	core
