	module id
PA0001	23.0
PA0002	3.0
PA0003	0.0
PA0004	3.0
PA0005	11.0
PA0006	18.0
PA0007	21.0
PA0008	13.0
PA0009	6.0
PA0010	1.0
PA0011	18.0
PA0012	34.0
PA0013	2.0
PA0014	18.0
PA0015	1.0
PA0016	1.0
PA0017	1.0
PA0018	1.0
PA0019	0.0
PA0020	0.0
PA0021	1.0
PA0022	16.0
PA0023	1.0
PA0024	15.0
PA0025	15.0
PA0026	21.0
PA0027	21.0
PA0028	1.0
PA0029	1.0
PA0030	1.0
PA0031	1.0
PA0032	1.0
PA0033	1.0
PA0034	18.0
PA0035	0.0
PA0036	0.0
PA0037	1.0
PA0038	4.0
PA0039	4.0
PA0040	1.0
PA0041	1.0
PA0042	2.0
PA0043	1.0
PA0044	9.0
PA0045	29.0
PA0046	29.0
PA0047	29.0
PA0048	0.0
PA0049	0.0
PA0050	0.0
PA0051	1.0
PA0052	4.0
PA0053	0.0
PA0054	1.0
PA0055	2.0
PA0056	1.0
PA0057	1.0
PA0058	1.0
PA0059	17.0
PA0060	0.0
PA0061	1.0
PA0062	1.0
PA0063	1.0
PA0064	16.0
PA0065	1.0
PA0066	1.0
PA0067	27.0
PA0068	27.0
PA0069	1.0
PA0070	0.0
PA0071	0.0
PA0072	1.0
PA0073	16.0
PA0074	1.0
PA0075	1.0
PA0076	16.0
PA0077	1.0
PA0078	29.0
PA0079	29.0
PA0080	29.0
PA0081	14.0
PA0082	29.0
PA0083	0.0
PA0084	0.0
PA0085	0.0
PA0086	29.0
PA0087	29.0
PA0088	29.0
PA0089	29.0
PA0090	29.0
PA0091	29.0
PA0092	0.0
PA0093	29.0
PA0094	29.0
PA0095	1.0
PA0096	1.0
PA0097	1.0
PA0098	1.0
PA0099	7.0
PA0100	0.0
PA0101	1.0
PA0102	0.0
PA0103	36.0
PA0104	1.0
PA0105	4.0
PA0106	4.0
PA0107	4.0
PA0108	4.0
PA0109	4.0
PA0110	12.0
PA0111	12.0
PA0112	12.0
PA0113	12.0
PA0114	19.0
PA0115	1.0
PA0116	0.0
PA0117	1.0
PA0118	2.0
PA0119	1.0
PA0120	1.0
PA0121	1.0
PA0122	0.0
PA0123	21.0
PA0124	2.0
PA0125	0.0
PA0126	29.0
PA0127	1.0
PA0128	0.0
PA0129	1.0
PA0130	0.0
PA0131	0.0
PA0132	0.0
PA0133	1.0
PA0134	1.0
PA0135	2.0
PA0136	1.0
PA0137	1.0
PA0138	1.0
PA0139	27.0
PA0140	27.0
PA0141	8.0
PA0142	1.0
PA0143	1.0
PA0144	1.0
PA0145	1.0
PA0146	1.0
PA0147	1.0
