PAO1_ID,Name,Product.Name,GeneID.(PAO1),PA14_ID
PA0001,dnaA,chromosomal replication initiator protein DnaA,878417,PA14_00010
PA0002,dnaN,"DNA polymerase III, beta chain",879244,PA14_00020
PA0003,recF,RecF protein,879229,PA14_00030
PA0004,gyrB,DNA gyrase subunit B,879230,PA14_00050
PA0005,lptA,"lysophosphatidic acid acyltransferase, LptA",877576,PA14_00060
PA0006,,conserved hypothetical protein,879245,PA14_00070
PA0007,,hypothetical protein,877575,PA14_00080
PA0008,glyS,glycyl-tRNA synthetase beta chain,878214,PA14_00090
PA0009,glyQ,glycyl-tRNA synthetase alpha chain,878095,PA14_00100
PA0010,tag,DNA-3-methyladenine glycosidase I,878076,PA14_00110
PA0011,htrB1,acyltransferase HtrB1,877921,PA14_00120
PA0012,,hypothetical protein,877795,PA14_00130
PA0013,,conserved hypothetical protein,877634,PA14_00140
PA0014,,hypothetical protein,879294,PA14_00150
PA0015,,hypothetical protein,879251,PA14_00160
PA0016,trkA,potassium uptake protein TrkA,879255,PA14_00170
PA0017,,conserved hypothetical protein,879297,PA14_00180
PA0018,fmt,methionyl-tRNA formyltransferase,879258,PA14_00190
PA0019,def,polypeptide deformylase,879306,PA14_00200
PA0020,tsaP,T4P secretin-associated protein TsaP,879309,PA14_00210
PA0021,,conserved hypothetical protein,880730,PA14_00230
PA0022,,conserved hypothetical protein,880711,PA14_00240
PA0023,qor,quinone oxidoreductase,880685,PA14_00250
PA0024,hemF,"coproporphyrinogen III oxidase, aerobic",880901,PA14_00280
PA0025,aroE,shikimate dehydrogenase,880894,PA14_00290
PA0026,plcB,"phospholipase C, PlcB",880904,PA14_00300
PA0027,,hypothetical protein,880919,PA14_00310
PA0028,,hypothetical protein,878631,PA14_00320
PA0029,,probable sulfate transporter,880672,PA14_00340
PA0030,cosX,CosX,880659,PA14_00360
PA0031,betC,choline sulfatase,880657,PA14_00380
PA0032,,probable transcriptional regulator,880646,PA14_00400
PA0033,hptC,Histidine phosphotransfer protein HptC,880641,PA14_00420
PA0034,,probable two-component response regulator,879223,PA14_00430
PA0035,trpA,tryptophan synthase alpha chain,879479,PA14_00440
PA0036,trpB,tryptophan synthase beta chain,879212,PA14_00450
PA0037,trpI,transcriptional regulator TrpI,883090,PA14_00460
PA0038,,hypothetical protein,879209,PA14_00470
PA0039,,hypothetical protein,879200,PA14_00480
PA0040,,conserved hypothetical protein,879196,PA14_00490
PA0041,,probable hemagglutinin,878601,PA14_00510
PA0042,,hypothetical protein,878502,PA14_00530
PA0043,,hypothetical protein,878401,PA14_00550
PA0044,exoT,exoenzyme T,878350,PA14_00560
PA0045,,hypothetical protein,878300,PA14_00570
PA0046,,hypothetical protein,878290,PA14_00580
PA0047,,hypothetical protein,877928,PA14_00590
PA0048,,probable transcriptional regulator,877666,PA14_00600
PA0049,,hypothetical protein,877595,PA14_00620
PA0050,,hypothetical protein,878575,PA14_00630
PA0051,phzH,potential phenazine-modifying enzyme,878637,PA14_00640
PA0052,,hypothetical protein,877739,PA14_00650
PA0053,,hypothetical protein,878009,
PA0054,,conserved hypothetical protein,878088,PA14_00660
PA0055,,hypothetical protein,877862,PA14_00670
PA0056,,probable transcriptional regulator,877984,PA14_00680
PA0057,,hypothetical protein,878150,PA14_00690
PA0058,dsbM,DsbM,880931,PA14_00700
PA0059,osmC,osmotically inducible protein OsmC,878070,PA14_00710
PA0060,,conserved hypothetical protein,880900,PA14_00720
PA0061,,hypothetical protein,877992,PA14_00730
PA0062,,hypothetical protein,878228,PA14_00740
PA0063,,hypothetical protein,877630,PA14_00750
PA0064,,hypothetical protein,878385,PA14_00760
PA0065,,hypothetical protein,878495,PA14_00770
PA0066,,conserved hypothetical protein,879179,PA14_00780
PA0067,prlC,oligopeptidase A,878482,PA14_00790
PA0068,,hypothetical protein,878318,PA14_00800
PA0069,,conserved hypothetical protein,878366,PA14_00810
PA0070,tagQ1,TagQ1,879190,PA14_00820
PA0071,tagR1,TagR1,879195,PA14_00830
PA0072,tagS1,TagS1,879189,PA14_00850
PA0073,tagT1,TagT1,878396,PA14_00860
PA0074,ppkA,serine/threonine protein kinase PpkA,879361,PA14_00875
PA0075,pppA,PppA,879341,PA14_00890
PA0076,tagF1,TagF1,879335,PA14_00900
PA0077,icmF1,IcmF1,879396,PA14_00910
PA0078,tssL1,TssL1,879392,PA14_00925
PA0079,tssK1,TssK1,879382,PA14_00940
PA0080,tssJ1,TssJ1,879436,PA14_00960
PA0081,fha1,Fha1,879413,PA14_00980
PA0082,tssA1,TssA1,879402,PA14_00990
PA0083,tssB1,TssB1,879476,PA14_01010
PA0084,tssC1,TssC1,879464,PA14_01020
PA0085,hcp1,Hcp1,879446,PA14_01030
PA0086,tagJ1,TagJ1,879504,PA14_01040
PA0087,tssE1,TssE1,879495,PA14_01060
PA0088,tssF1,TssF1,879483,PA14_01070
PA0089,tssG1,TssG1,879573,PA14_01080
PA0090,clpV1,ClpV1,879553,PA14_01100
PA0091,vgrG1,VgrG1,879511,PA14_01110
PA0092,tsi6,Tsi6,880664,PA14_01120
PA0093,tse6,Tse6,880654,PA14_01140
PA0094,eagT6,EagT6,879595,PA14_01150
PA0095,,conserved hypothetical protein,880726,
PA0096,,hypothetical protein,880714,PA14_01170
PA0097,,hypothetical protein,880677,PA14_01180
PA0098,,hypothetical protein,880743,PA14_01190
PA0099,,hypothetical protein,880737,PA14_01200
PA0100,,hypothetical protein,880727,
PA0101,,hypothetical protein,880786,PA14_01230
