PA14_ID,Name,Product.Name,GeneID.(PAO1),PAO1_ID
PA14_00010,dnaA,chromosomal replication initiation protein,878417,PA0001
PA14_00020,dnaN,DNA polymerase III subunit beta,879244,PA0002
PA14_00030,recF,recombination protein F,879229,PA0003
PA14_00050,gyrB,DNA gyrase subunit B,879230,PA0004
PA14_00060,,acyltransferase,877576,PA0005
PA14_00070,,"D,D-heptose 1,7-bisphosphate phosphatase",879245,PA0006
PA14_00080,,hypothetical protein,877575,PA0007
PA14_00090,glyS,glycyl-tRNA synthetase subunit beta,878214,PA0008
PA14_00100,glyQ,glycyl-tRNA synthetase subunit alpha,878095,PA0009
PA14_00110,tag,DNA-3-methyladenine glycosidase I,878076,PA0010
PA14_00120,,lipid A biosynthesis lauroyl acyltransferase,877921,PA0011
PA14_00130,,hypothetical protein,877795,PA0012
PA14_00140,,hypothetical protein,877634,PA0013
PA14_00150,,hypothetical protein,879294,PA0014
PA14_00160,,hypothetical protein,879251,PA0015
PA14_00170,trkA,potassium transporter peripheral membrane protein,879255,PA0016
PA14_00180,,tRNA and rRNA cytosine-C5-methylases,879297,PA0017
PA14_00190,fmt,methionyl-tRNA formyltransferase,879258,PA0018
PA14_00200,def,peptide deformylase,879306,PA0019
PA14_00210,,lysin domain-containing protein,879309,PA0020
PA14_00230,,Rossmann fold nucleotide-binding protein,880730,PA0021
PA14_00240,,hypothetical protein,880711,PA0022
PA14_00250,qor,quinone oxidoreductase,880685,PA0023
PA14_00280,hemF,coproporphyrinogen III oxidase,880901,PA0024
PA14_00290,aroE,shikimate 5-dehydrogenase,880894,PA0025
PA14_00300,plcB,"phospholipase C, PlcB",880904,PA0026
PA14_00310,,peptidyl-prolyl isomerase,880919,PA0027
PA14_00320,,hypothetical protein,878631,PA0028
PA14_00340,,sulfate transporter,880672,PA0029
PA14_00360,,hypothetical protein,880659,PA0030
PA14_00380,betC,choline sulfatase,880657,PA0031
PA14_00400,,LysR family transcriptional regulator,880646,PA0032
PA14_00410,,dioxygenase,,
PA14_00420,,histidine phosphotransfer domain-containing protein,880641,PA0033
PA14_00430,,two-component response regulator,879223,PA0034
PA14_00440,trpA,tryptophan synthase subunit alpha,879479,PA0035
PA14_00450,trpB,tryptophan synthase subunit beta,879212,PA0036
PA14_00460,trpI,transcriptional regulator TrpI,883090,PA0037
PA14_00470,,hypothetical protein,879209,PA0038
PA14_00480,,hypothetical protein,879200,PA0039
PA14_00490,,hemolysin activation/secretion protein,879196,PA0040
PA14_00510,,hemagglutinin,878601,PA0041
PA14_00520,,hypothetical protein,,
PA14_00530,,hypothetical protein,878502,PA0042
PA14_00550,,hypothetical protein,878401,PA0043
