"operon-id","operon_name","locus_tag","start","end","strand","gene_name","source_database","pmid"
"operon-8958","dnaA-dnaN-recF-gyrB","PA14_00010",483,2027,1,"dnaA","DOOR",18988623
"operon-8958","dnaA-dnaN-recF-gyrB","PA14_00020",2056,3159,1,"dnaN","DOOR",18988623
"operon-8958","dnaA-dnaN-recF-gyrB","PA14_00030",3169,4278,1,"recF","DOOR",18988623
"operon-8958","dnaA-dnaN-recF-gyrB","PA14_00050",4275,6695,1,"gyrB","DOOR",18988623
"operon-8959","PA14_00070-PA14_00060","PA14_00060",7018,7791,-1,"","DOOR",18988623
"operon-8959","PA14_00070-PA14_00060","PA14_00070",7803,8339,-1,"","DOOR",18988623
"operon-8960","glyQ-glyS","PA14_00090",10434,12488,-1,"glyS","DOOR",18988623
"operon-8960","glyQ-glyS","PA14_00100",12488,13435,-1,"glyQ","DOOR",18988623
"operon-8961","def-fmt-PA14_00180-trkA","PA14_00170",17389,18762,-1,"trkA","DOOR",18988623
"operon-8961","def-fmt-PA14_00180-trkA","PA14_00180",18789,20093,-1,"","DOOR",18988623
"operon-8961","def-fmt-PA14_00180-trkA","PA14_00190",20090,21034,-1,"fmt","DOOR",18988623
"operon-8961","def-fmt-PA14_00180-trkA","PA14_00200",21088,21594,-1,"def","DOOR",18988623
"operon-8962","PA14_00230-PA14_00240","PA14_00230",22893,23981,1,"","DOOR",18988623
"operon-8962","PA14_00230-PA14_00240","PA14_00240",24022,24579,1,"","DOOR",18988623
"operon-8963","hemF-aroE","PA14_00280",25757,26674,1,"hemF","DOOR",18988623
"operon-8963","hemF-aroE","PA14_00290",26732,27556,1,"aroE","DOOR",18988623
"operon-8964","plcB-PA14_00310-PA14_00320","PA14_00300",27667,28653,1,"plcB","DOOR",18988623
"operon-8964","plcB-PA14_00310-PA14_00320","PA14_00310",28634,29920,1,"","DOOR",18988623
"operon-8964","plcB-PA14_00310-PA14_00320","PA14_00320",29917,30519,1,"","DOOR",18988623
"operon-8965","betC-PA14_00360-PA14_00340","PA14_00340",30523,32076,-1,"","DOOR",18988623
"operon-8965","betC-PA14_00360-PA14_00340","PA14_00360",32081,33004,-1,"","DOOR",18988623
"operon-8965","betC-PA14_00360-PA14_00340","PA14_00380",33021,34532,-1,"betC","DOOR",18988623
"operon-8966","PA14_00400-PA14_00410","PA14_00400",34645,35559,1,"","DOOR",18988623
"operon-8966","PA14_00400-PA14_00410","PA14_00410",35570,35947,1,"","DOOR",18988623
"operon-8967","PA14_00430-PA14_00420","PA14_00420",35926,36291,-1,"","DOOR",18988623
"operon-8967","PA14_00430-PA14_00420","PA14_00430",36299,36922,-1,"","DOOR",18988623
"operon-8968","trpB-trpA","PA14_00440",37108,37914,-1,"trpA","DOOR",18988623
"operon-8968","trpB-trpA","PA14_00450",37911,39119,-1,"trpB","DOOR",18988623
"operon-8969","PA14_00680-PA14_00670-PA14_00660","PA14_00660",67187,67735,-1,"","DOOR",18988623
"operon-8969","PA14_00680-PA14_00670-PA14_00660","PA14_00670",67774,68280,-1,"","DOOR",18988623
"operon-8969","PA14_00680-PA14_00670-PA14_00660","PA14_00680",68346,69266,-1,"","DOOR",18988623
"operon-8970","PA14_00700-osmC","PA14_00700",70324,71028,1,"","DOOR",18988623
"operon-8970","PA14_00700-osmC","PA14_00710",71112,71567,1,"osmC","DOOR",18988623
"operon-8971","PA14_00740-PA14_00730","PA14_00730",71923,72360,-1,"","DOOR",18988623
"operon-8971","PA14_00740-PA14_00730","PA14_00740",72417,72833,-1,"","DOOR",18988623
"operon-8972","PA14_00780-PA14_00770-PA14_00760","PA14_00760",74060,75043,-1,"","DOOR",18988623
"operon-8972","PA14_00780-PA14_00770-PA14_00760","PA14_00770",75076,75741,-1,"","DOOR",18988623
"operon-8972","PA14_00780-PA14_00770-PA14_00760","PA14_00780",75734,76276,-1,"","DOOR",18988623
"operon-8973","prlC-PA14_00800","PA14_00790",76354,78399,1,"prlC","DOOR",18988623
"operon-8973","prlC-PA14_00800","PA14_00800",78396,78671,1,"","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00820",80049,80963,-1,"tagQ1","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00830",81025,82737,-1,"tagR1","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00850",82730,83929,-1,"tagS1","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00860",83929,84648,-1,"tagT1","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00875",84645,87743,-1,"ppkA","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00890",87751,88479,-1,"pppA","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00900",88489,89169,-1,"tagF1","DOOR",18988623
"operon-8974","PA14_00910-PA14_00900-PA14_00890-ppkA-PA14_00860-PA14_00850-PA14_00830-PA14_00820","PA14_00910",89166,92474,-1,"icmF1","DOOR",18988623
"operon-8975","PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925","PA14_00925",92696,94045,-1,"tssL1","DOOR",18988623
"operon-8975","PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925","PA14_00940",94052,95386,-1,"tssK1","DOOR",18988623
"operon-8975","PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925","PA14_00960",95402,95866,-1,"tssJ1","DOOR",18988623
"operon-8975","PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925","PA14_00970",95911,96453,-1,"","DOOR",18988623
"operon-8975","PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925","PA14_00980",96450,97409,-1,"fha1","DOOR",18988623
"operon-8976","PA14_00990-PA14_01010-PA14_01020","PA14_00990",97777,98811,1,"tssA1","DOOR",18988623
"operon-8976","PA14_00990-PA14_01010-PA14_01020","PA14_01010",98900,99418,1,"hsiB1","DOOR",18988623
"operon-8976","PA14_00990-PA14_01010-PA14_01020","PA14_01020",99431,100927,1,"hsiC1","DOOR",18988623
"operon-8977","PA14_01040-PA14_01060-PA14_01070-PA14_01080-PA14_01100-PA14_01110","PA14_01040",101659,102504,1,"tagJ1","DOOR",18988623
