PA14_ID	pathways present	label
PA14_10770	[]	most stable
PA14_57370	['KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism', 'KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']	most stable
PA14_58150	[]	most stable
PA14_19500	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00436: Sulfonate transport system']	most stable
PA14_60400	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_68080	['KEGG-Module-M00236: Putative polar amino acid transport system']	most stable
PA14_41150	['KEGG-Module-M00349: Microcin C transport system']	most stable
PA14_57380	['KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']	most stable
PA14_30310	[]	most stable
PA14_65280	[]	most stable
PA14_65040	[]	most stable
PA14_42350	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_08150	[]	most stable
PA14_05130	[]	most stable
PA14_08950	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_07680	[]	most stable
PA14_70280	['KEGG-Pathway-pae01210: 2-Oxocarboxylic acid metabolism', 'KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Module-M00028: Ornithine biosynthesis, glutamate => ornithine']	most stable
PA14_41690	[]	most stable
PA14_62440	[]	most stable
PA14_42340	['KEGG-Module-M00332: Type III secretion system']	most stable
PA14_43940	['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_08130	[]	most stable
PA14_07560	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_30660	['KEGG-Pathway-pae03420: Nucleotide excision repair']	most stable
PA14_25430	[]	most stable
PA14_50520	['KEGG-Module-M00237: Branched-chain amino acid transport system']	most stable
PA14_08040	[]	most stable
PA14_55770	[]	most stable
PA14_62730	[]	most stable
PA14_73240	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_07550	[]	most stable
PA14_08920	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_10730	[]	most stable
PA14_42360	[]	most stable
PA14_67065	[]	most stable
PA14_07650	[]	most stable
PA14_58010	[]	most stable
PA14_00090	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_27730	['KEGG-Pathway-pae00071: Fatty acid degradation', 'KEGG-Pathway-pae01212: Fatty acid metabolism', 'KEGG-Module-M00087: beta-Oxidation']	most stable
PA14_42600	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_01070	['KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_38330	['KEGG-Pathway-pae00480: Glutathione metabolism']	most stable
PA14_57970	[]	most stable
PA14_56090	[]	most stable
PA14_14680	['KEGG-Pathway-pae00562: Inositol phosphate metabolism', 'KEGG-Pathway-pae00521: Streptomycin biosynthesis']	most stable
PA14_47720	['KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism', 'KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin']	most stable
PA14_19120	['KEGG-Module-M00644: Multidrug resistance, efflux pump MexHI-OprD']	most stable
PA14_56590	[]	most stable
PA14_71840	[]	most stable
PA14_41380	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_18880	['KEGG-Pathway-pae03410: Base excision repair']	most stable
PA14_42460	[]	most stable
PA14_69190	['KEGG-Pathway-pae03018: RNA degradation']	most stable
PA14_67830	[]	most stable
PA14_36450	[]	most stable
PA14_42450	[]	most stable
PA14_08680	[]	most stable
PA14_67520	[]	most stable
PA14_50530	['KEGG-Module-M00237: Branched-chain amino acid transport system']	most stable
PA14_55890	[]	most stable
PA14_16180	[]	most stable
PA14_25630	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_60460	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_38210	[]	most stable
PA14_06710	[]	most stable
PA14_42610	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_37710	[]	most stable
PA14_73110	[]	most stable
PA14_72020	[]	most stable
PA14_50540	['KEGG-Module-M00237: Branched-chain amino acid transport system']	most stable
PA14_53470	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism', 'KEGG-Pathway-pae00680: Methane metabolism', 'KEGG-Pathway-pae00640: Propanoate metabolism']	most stable
PA14_12310	[]	most stable
PA14_08120	[]	most stable
PA14_08260	[]	most stable
PA14_53480	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00430: Taurine and hypotaurine metabolism', 'KEGG-Pathway-pae00680: Methane metabolism', 'KEGG-Pathway-pae00640: Propanoate metabolism']	most stable
PA14_30410	[]	most stable
PA14_12230	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_30280	['KEGG-Pathway-pae00450: Selenocompound metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']	most stable
PA14_36375	[]	most stable
PA14_36605	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	most stable
PA14_19610	[]	most stable
PA14_27210	[]	most stable
PA14_67580	['KEGG-Pathway-pae04122: Sulfur relay system', 'KEGG-Pathway-pae00730: Thiamine metabolism']	most stable
PA14_13340	[]	most stable
PA14_42160	[]	most stable
PA14_07760	[]	most stable
PA14_42300	[]	most stable
PA14_66080	[]	most stable
PA14_15990	[]	most stable
PA14_47670	['KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism', 'KEGG-Module-M00122: Cobalamin biosynthesis, cobinamide => cobalamin']	most stable
PA14_06840	[]	most stable
PA14_02060	[]	most stable
PA14_16530	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_05560	['KEGG-Pathway-pae03018: RNA degradation']	most stable
PA14_30230	[]	most stable
PA14_12350	[]	most stable
PA14_58250	[]	most stable
PA14_03650	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00185: Sulfate transport system', 'KEGG-Module-M00616: Sulfate-sulfur assimilation']	most stable
PA14_42400	[]	most stable
PA14_17130	['KEGG-Pathway-pae00900: Terpenoid backbone biosynthesis']	most stable
PA14_08810	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_43850	[]	most stable
PA14_27370	['KEGG-Pathway-pae03018: RNA degradation']	most stable
PA14_58180	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis']	most stable
PA14_08710	[]	most stable
PA14_17220	['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']	most stable
PA14_34130	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_67090	[]	most stable
PA14_19360	[]	most stable
PA14_12330	[]	most stable
PA14_09180	['KEGG-Pathway-pae03420: Nucleotide excision repair']	most stable
PA14_57590	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_62710	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae03018: RNA degradation', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']	most stable
PA14_73260	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_55670	['KEGG-Pathway-pae03440: Homologous recombination']	most stable
PA14_07130	['KEGG-Pathway-pae00030: Pentose phosphate pathway']	most stable
PA14_09080	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_47390	[]	most stable
PA14_64280	['KEGG-Module-M00323: Urea transport system']	most stable
PA14_00910	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_08820	[]	most stable
PA14_08930	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_65000	[]	most stable
PA14_16690	['KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00680: Methane metabolism']	most stable
PA14_44020	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00650: Butanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_61700	[]	most stable
PA14_44010	['KEGG-Pathway-pae00380: Tryptophan metabolism', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00310: Lysine degradation', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_19540	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00436: Sulfonate transport system']	most stable
PA14_44000	['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00310: Lysine degradation', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	most stable
PA14_57300	[]	most stable
PA14_42310	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_70270	['KEGG-Pathway-pae00051: Fructose and mannose metabolism', 'KEGG-Pathway-pae00052: Galactose metabolism', 'KEGG-Pathway-pae00521: Streptomycin biosynthesis', 'KEGG-Pathway-pae00500: Starch and sucrose metabolism', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00030: Pentose phosphate pathway', 'KEGG-Pathway-pae00520: Amino sugar and nucleotide sugar metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis']	most stable
PA14_08790	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_19490	[]	most stable
PA14_34070	['KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_24240	[]	most stable
PA14_65170	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_57010	['KEGG-Pathway-pae03018: RNA degradation']	most stable
PA14_20890	['KEGG-Pathway-pae00540: Lipopolysaccharide biosynthesis']	most stable
PA14_07520	[]	most stable
PA14_21220	[]	most stable
PA14_03680	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00185: Sulfate transport system', 'KEGG-Module-M00616: Sulfate-sulfur assimilation']	most stable
PA14_66920	['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']	most stable
PA14_69000	[]	most stable
PA14_46240	[]	most stable
PA14_09020	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_43030	['KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_65640	[]	most stable
PA14_57480	[]	most stable
PA14_00710	[]	most stable
PA14_01030	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_57580	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_57330	['KEGG-Pathway-pae00471: D-Glutamine and D-glutamate metabolism', 'KEGG-Pathway-pae00550: Peptidoglycan biosynthesis']	most stable
PA14_73300	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_51860	[]	most stable
PA14_60370	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_72040	[]	most stable
PA14_56130	[]	most stable
PA14_17060	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_55520	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00331: Type II general secretion pathway']	most stable
PA14_41440	[]	most stable
PA14_64270	['KEGG-Module-M00323: Urea transport system']	most stable
PA14_00560	[]	most stable
PA14_16630	[]	most stable
PA14_69570	[]	most stable
PA14_08960	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_01110	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00334: Type VI secretion system']	most stable
PA14_06670	[]	most stable
PA14_62450	[]	most stable
PA14_14900	[]	most stable
PA14_36570	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	most stable
PA14_66440	['KEGG-Pathway-pae00270: Cysteine and methionine metabolism']	most stable
PA14_67560	[]	most stable
PA14_13580	[]	most stable
PA14_21410	['KEGG-Pathway-pae00627: Aminobenzoate degradation', 'KEGG-Pathway-pae00790: Folate biosynthesis', 'KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF']	most stable
PA14_25305	[]	most stable
PA14_51260	[]	most stable
PA14_36590	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	most stable
PA14_41210	[]	most stable
PA14_72490	['KEGG-Pathway-pae03440: Homologous recombination', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae03410: Base excision repair', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Pathway-pae03030: DNA replication', 'KEGG-Pathway-pae03420: Nucleotide excision repair']	most stable
PA14_25020	[]	most stable
PA14_36580	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	most stable
PA14_03670	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00185: Sulfate transport system', 'KEGG-Module-M00616: Sulfate-sulfur assimilation']	most stable
PA14_30330	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	most stable
PA14_09040	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_14930	[]	most stable
PA14_08830	[]	most stable
PA14_15740	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Module-M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP']	most stable
PA14_73250	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	most stable
PA14_16190	[]	most stable
PA14_08720	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_70580	[]	most stable
PA14_01180	[]	most stable
PA14_69070	[]	most stable
PA14_09100	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_23260	[]	most stable
PA14_04670	['KEGG-Pathway-pae03410: Base excision repair']	most stable
PA14_04980	['KEGG-Pathway-pae00730: Thiamine metabolism']	most stable
PA14_42500	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Module-M00332: Type III secretion system']	most stable
PA14_30210	[]	most stable
PA14_08160	[]	most stable
PA14_56110	[]	most stable
PA14_54430	[]	most stable
PA14_62230	[]	most stable
PA14_69250	[]	most stable
PA14_00050	[]	most stable
PA14_08090	[]	most stable
PA14_08030	[]	most stable
PA14_42760	['KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis']	most stable
PA14_60570	[]	most stable
PA14_66460	[]	most stable
PA14_23110	[]	most stable
PA14_62780	[]	most stable
PA14_62830	['KEGG-Pathway-pae00562: Inositol phosphate metabolism', 'KEGG-Pathway-pae00051: Fructose and mannose metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis', 'KEGG-Module-M00002: Glycolysis, core module involving three-carbon compounds']	most stable
PA14_41160	['KEGG-Module-M00349: Microcin C transport system']	most stable
PA14_32720	[]	most stable
PA14_03920	['KEGG-Module-M00300: Putrescine transport system']	most stable
PA14_55660	['KEGG-Pathway-pae03440: Homologous recombination']	most stable
PA14_08970	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_70570	['KEGG-Pathway-pae03440: Homologous recombination']	most stable
PA14_08730	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_09090	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']	most stable
PA14_06650	[]	most stable
