PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label	pathways present
PA14_64180	PA4852	0.5370450496656033	0.0		most stable	[]
PA14_36890	PA2140	0.4317701095335726	7.842601425364134e-242			[]
PA14_39270	PA1951	0.36872442373093184	6.741466757628811e-172			[]
PA14_46270	PA1405	0.4594293973696649	1.416814190750988e-277			[]
PA14_16560	PA3698	0.4002610150327281	5.558574306219574e-205			[]
PA14_11190	PA4073	0.13894920163380106	1.8158072995829046e-24		least stable	['KEGG-Pathway-pae00360: Phenylalanine metabolism', 'KEGG-Pathway-pae00643: Styrene degradation']
PA14_03480	PA0268	0.30003114712581874	1.1316751905824089e-111			[]
PA14_66610	PA5039	0.4064286377874797	6.922988326835999e-212	aroK		['KEGG-Pathway-pae00400: Phenylalanine, tyrosine and tryptophan biosynthesis']
PA14_68120	PA5158	0.31296118705795845	7.584162472264181e-122			[]
PA14_00660	PA0054	0.2958069712195801	1.8462034456446036e-108			[]
PA14_27740	PA2814	0.25992491169473714	2.614587078566096e-83			[]
PA14_08050	PA0620	0.5452132471808689	0.0		most stable	[]
PA14_42960	PA1664	0.3309149749731355	7.635814022455313e-137	lip2.2		[]
PA14_44130	PA1575	0.4072838601623177	7.434895846803332e-213			[]
PA14_33080	PA2438	0.3666499737727043	7.56739658286149e-170			[]
PA14_49900	PA1119	0.3898538608034386	1.1689201662534952e-193			[]
PA14_38480	PA2012	0.37833917917891824	1.3393569274643563e-181	gnyA		['KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Module-M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA']
PA14_17580	PA3613	0.6214851822600098	0.0		most stable	[]
PA14_53800	PA0809	0.2724510895826817	1.1612102334352698e-91	mntH2		[]
PA14_16140	PA3732	0.4519659182382076	1.3323836932685106e-267			[]
PA14_63130	PA4775	0.3924911421474292	1.725698269588733e-196			[]
PA14_61400	PA4640	0.3574611892063215	6.019008445522562e-161	mqoB		['KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']
PA14_15930	PA3748	0.4950757967396861	0.0			[]
PA14_46430	PA1378	0.2355954675987317	2.3593439183980255e-68			[]
PA14_27390	PA2839	0.19171227471922744	1.9196086527677495e-45		least stable	[]
PA14_18920	PA3491	0.5281870210873804	0.0		most stable	[]
PA14_46890	PA1344	0.3590161837970193	1.9673401723172164e-162			[]
PA14_66900	PA5063	0.5104102240611921	0.0	ubiE	most stable	['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']
PA14_29800	PA2652	0.4272188154499755	2.911228382021631e-236			['KEGG-Pathway-pae02030: Bacterial chemotaxis']
PA14_73410	PA5568	0.5401241116709705	0.0		most stable	['KEGG-Pathway-pae03070: Bacterial secretion system', 'KEGG-Pathway-pae03060: Protein export', 'KEGG-Module-M00335: Sec (secretion) system']
PA14_24245	PA3085	0.3573320633215685	7.989467895900195e-161			[]
PA14_43610	PA1617	0.3042406724709164	6.282605917919961e-115			[]
PA14_60210	PA4544	0.4036858963383936	8.48940498869236e-209	rluD		[]
PA14_27460	PA2832	0.4193142577653308	8.624214785719282e-227	tpm		[]
PA14_44420	PA1551	0.4635681516857917	3.256232663814775e-283			[]
PA14_03700	PA0283	0.5375441429571457	0.0	sbp	most stable	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Module-M00185: Sulfate transport system', 'KEGG-Module-M00616: Sulfate-sulfur assimilation']
PA14_72410	PA5486	0.3322122282724561	5.743637350883477e-138			[]
PA14_61520	PA4650	0.3268816008583329	2.196401925768046e-133			[]
PA14_23320	PA3163	0.4192222814626009	1.1077518381413993e-226	cmk		['KEGG-Pathway-pae00240: Pyrimidine metabolism']
PA14_23840	PA3114	0.4230775336798127	2.8708382336012154e-231	truA		[]
PA14_08090	PA0623	0.5502649812325282	0.0		most stable	[]
PA14_71640	PA5428	0.2883656757127092	6.228273430579818e-103			[]
PA14_10340	PA4143	0.2544112542754488	8.951874491741772e-80			[]
PA14_00900	PA0076	0.513377412627514	0.0		most stable	[]
PA14_56110	PA4319	0.5385751317500052	0.0		most stable	[]
PA14_57990	PA4467	0.3663995428848277	1.334827044627648e-169			[]
PA14_34790	PA2307	0.3380068221497445	4.70874543378553e-143			['KEGG-Module-M00188: NitT/TauT family transport system']
PA14_43040	PA1657	0.482515612242046	4.814427230889e-310	hsiB2		['KEGG-Module-M00334: Type VI secretion system']
PA14_19330	PA3463	0.297999775106445	4.030737300802226e-110			[]
PA14_12900	PA3940	0.3697859382051839	5.9399514062093946e-173			[]
PA14_72510	PA5495	0.5103046863469323	0.0	thrB	most stable	['KEGG-Pathway-pae00260: Glycine, serine and threonine metabolism', 'KEGG-Module-M00018: Threonine biosynthesis, aspartate => homoserine => threonine']
PA14_09910	PA4174	0.2314778764901164	5.518240357621842e-66			[]
PA14_65170	PA4934	0.5080487910128065	0.0	rpsR	most stable	['KEGG-Pathway-pae03010: Ribosome', 'KEGG-Module-M00178: Ribosome, bacteria']
PA14_52570	PA0905	0.3564517743532876	5.48870850355442e-160	rsmA		[]
PA14_51600	PA0981	0.2782564791402342	1.0962114404310054e-95			[]
PA14_54090	PA0787	0.3344806105359717	6.041851608527883e-140			[]
PA14_07900	PA0606	0.2099542932956887	2.3980442585448905e-54			['KEGG-Module-M00193: Putative spermidine/putrescine transport system']
PA14_61000	PA4610	0.4523211185968449	4.524782566917371e-268			[]
PA14_39230	PA1955	0.3053162378462191	9.069619748088714e-116			[]
PA14_63090	PA4771	0.20515057524916966	6.439819653256538e-52	lldD		['KEGG-Pathway-pae00620: Pyruvate metabolism']
PA14_28340	PA2765	0.3908935167790734	9.014238569829112e-195			[]
PA14_49720	PA1134	0.28983698455528994	5.182384563762356e-104			[]
PA14_07810	PA0599	0.2568449147938492	2.526014721522831e-81			[]
PA14_24600	PA3054	0.3444711878679671	7.381602811886101e-149			[]
PA14_55930	PA4305	0.5187054210991369	0.0		most stable	[]
PA14_25540	PA2978	0.393121558250246	3.601125234815748e-197	ptpA		[]
PA14_46930	PA1340	0.3630912350409048	2.2956484518502664e-166			['KEGG-Module-M00230: Glutamate/aspartate transport system']
PA14_33560	PA2407	0.30483625629505395	2.1534419822696963e-115			['KEGG-Module-M00242: Zinc transport system']
PA14_24890	PA3030	0.3389473116587968	6.870407750702634e-144	mobA		[]
PA14_33510	PA2412	0.4495772899069833	1.8378432216126028e-264			[]
PA14_66750	PA5051	0.3953834690971825	1.2660699738621144e-199	argS		['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']
PA14_51450	PA0994	0.3553139136252831	6.56713370615814e-159	cupC3		[]
PA14_47600	PA1284	0.2146412868950617	8.934629113068947e-57			[]
PA14_14290	PA3844	0.22872204759157344	2.0022977665384236e-64			[]
PA14_70330	PA5327	0.27479871248042004	2.8124851113812948e-93	sphC		[]
PA14_35050	PA2283	0.17420708471240182	1.043390624382456e-37		least stable	[]
PA14_24580	PA3056	0.2386890531526649	3.6508231581392046e-70			[]
PA14_60860	PA4600	0.2248555493406373	2.8520762912511688e-62	nfxB		[]
PA14_70010	PA5303	0.2855292335409128	7.209209507408537e-101			[]
PA14_37510	PA2088	0.37937744221797176	1.1465415263821737e-182			[]
PA14_26780	PA2883	0.3812550458255826	1.3151731125374464e-184			[]
PA14_71870	PA5443	0.3851860351772285	1.0349183791796645e-188	uvrD		['KEGG-Pathway-pae03430: Mismatch repair', 'KEGG-Pathway-pae03420: Nucleotide excision repair']
PA14_69610	PA5272	0.3964608159271088	8.449975048399199e-201	cyaA		['KEGG-Pathway-pae00230: Purine metabolism']
PA14_61150	PA4621	0.34226109850949765	7.384661910148584e-147			[]
PA14_72990	PA5533	0.3026269871175112	1.1286458941920817e-113			[]
PA14_72210	PA5471	0.3928605269224183	6.892851822987327e-197			['KEGG-Pathway-pae00312: beta-Lactam resistance']
PA14_52520	PA0907	0.344691737682048	4.652155528658678e-149			[]
