gene id	pathways present	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA0355	[]	PA14_04650	0.5082064635417503	0.0	pfpI	most stable
PA3655	[]	PA14_17070	0.5795577617662248	0.0	tsf	most stable
PA0620	[]	PA14_08050	0.5451963262154719	0.0		most stable
PA0956	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_51900	0.5810965730552354	0.0	proS	most stable
PA3834	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_14440	0.5057273737160236	0.0	valS	most stable
PA5212	[]	PA14_68840	0.5230639792486074	0.0		most stable
PA4670	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00030: Pentose phosphate pathway']	PA14_61770	0.5774572010989186	0.0	prs	most stable
PA5493	['KEGG-Pathway-pae03440: Homologous recombination', 'KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae03410: Base excision repair', 'KEGG-Pathway-pae00240: Pyrimidine metabolism', 'KEGG-Pathway-pae03030: DNA replication', 'KEGG-Pathway-pae03420: Nucleotide excision repair']	PA14_72490	0.5129278478547855	0.0	polA	most stable
PA4578	[]	PA14_60570	0.5264057838149557	0.0		most stable
PA5063	['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']	PA14_66900	0.5104867139813816	0.0	ubiE	most stable
PA3446	['KEGG-Pathway-pae00920: Sulfur metabolism', 'KEGG-Pathway-pae00740: Riboflavin metabolism']	PA14_19530	0.5079694302836463	0.0		most stable
PA4421	[]	PA14_57460	0.5056327316888235	0.0		most stable
PA4720	[]	PA14_62450	0.5172243815002091	0.0	trmA	most stable
PA3922	[]	PA14_13140	0.5058855504741651	0.0		most stable
PA0009	['KEGG-Pathway-pae00970: Aminoacyl-tRNA biosynthesis', 'KEGG-Module-M00360: Aminoacyl-tRNA biosynthesis, prokaryotes']	PA14_00100	0.5592401027685503	0.0	glyQ	most stable
PA4608	[]	PA14_60970	0.5114860524843634	0.0		most stable
PA4542	[]	PA14_60190	0.502906941408205	0.0	clpB	most stable
PA3982	[]	PA14_12310	0.5176501134852262	0.0		most stable
PA0594	[]	PA14_07760	0.5143649917577315	0.0	surA	most stable
PA5557	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	PA14_73280	0.5533526391001463	0.0	atpH	most stable
PA4269	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']	PA14_08780	0.5428508094706678	0.0	rpoC	most stable
PA2585	['KEGG-Pathway-pae03420: Nucleotide excision repair']	PA14_30660	0.5087507776724074	0.0	uvrC	most stable
PA0576	[]	PA14_07520	0.5346858172632337	0.0	rpoD	most stable
PA2162	['KEGG-Pathway-pae00500: Starch and sucrose metabolism']	PA14_36605	0.5524569080599903	0.0		most stable
PA5473	[]	PA14_72230	0.5742954682403113	0.0		most stable
PA1465	[]	PA14_45480	0.5114767134993198	0.0		most stable
PA5118	['KEGG-Pathway-pae04122: Sulfur relay system', 'KEGG-Pathway-pae00730: Thiamine metabolism']	PA14_67580	0.563130221232292	0.0	thiI	most stable
PA4744	[]	PA14_62760	0.6034814356109114	0.0	infB	most stable
PA5136	[]	PA14_67830	0.5102596755008383	0.0		most stable
PA0618	[]	PA14_08030	0.5576891020835066	0.0		most stable
PA4002	[]	PA14_12070	0.5277598530533214	0.0	rodA	most stable
PA4851	[]	PA14_64170	0.5102877169472418	0.0		most stable
PA2996	[]	PA14_25330	0.5376661857479081	0.0	nqrD	most stable
PA0595	[]	PA14_07770	0.5003843328221954	0.0	lptD	most stable
PA1589	['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism', 'KEGG-Pathway-pae00020: Citrate cycle (TCA cycle)', 'KEGG-Pathway-pae00640: Propanoate metabolism', 'KEGG-Module-M00009: Citrate cycle (TCA cycle, Krebs cycle)', 'KEGG-Module-M00011: Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate']	PA14_43940	0.5678942330560507	0.0	sucD	most stable
PA0070	[]	PA14_00820	0.6223668639434413	0.0	tagQ1	most stable
PA3827	[]	PA14_14510	0.5807862448775862	0.0	lptG	most stable
PA4204	[]	PA14_09550	0.5921010271295144	0.0	ppgL	most stable
PA4852	[]	PA14_64180	0.5373158710414304	0.0		most stable
PA0524	['KEGG-Pathway-pae00910: Nitrogen metabolism', 'KEGG-Module-M00529: Denitrification, nitrate => nitrogen']	PA14_06830	0.5110243538393588	0.0	norB	most stable
PA4489	[]	PA14_58250	0.6118907364411243	0.0	magD	most stable
PA3936	['KEGG-Pathway-pae00920: Sulfur metabolism']	PA14_12960	0.5237695884268839	0.0		most stable
PA5555	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']	PA14_73250	0.5402410187103954	0.0	atpG	most stable
PA5226	[]	PA14_69020	0.5111885481859093	0.0		most stable
PA5257	[]	PA14_69420	0.5209932728909289	0.0		most stable
PA0471	[]	PA14_06170	0.5066915225579944	0.0	fiuR	most stable
PA4997	[]	PA14_66080	0.5150688155105905	0.0	msbA	most stable
PA1429	[]	PA14_45970	0.5339387383871969	0.0		most stable
PA3484	[]	PA14_19020	0.5478793506575652	0.0	tse3	most stable
