PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	pathways present
PA2317	PA14_34680	0.13688142946430729	8.634914264322809e-24		least stable	['KEGG-Pathway-pae00330: Arginine and proline metabolism']
PA0432	PA14_05620	0.4070187843773733	1.356923856888729e-212	sahH		['KEGG-Pathway-pae00270: Cysteine and methionine metabolism']
PA4408	PA14_57290	0.4962803753966728	0.0	ftsA		[]
PA3198	PA14_22840	0.3685501917316824	9.328063667809344e-172			[]
PA4010	PA14_11970	0.3131614222963767	4.963895844576495e-122			['KEGG-Pathway-pae03410: Base excision repair']
PA1027	PA14_51050	0.19210255482916253	1.240483862382024e-45	amaB	least stable	['KEGG-Pathway-pae00071: Fatty acid degradation', 'KEGG-Pathway-pae00903: Limonene and pinene degradation', 'KEGG-Pathway-pae00380: Tryptophan metabolism', 'KEGG-Pathway-pae00040: Pentose and glucuronate interconversions', 'KEGG-Pathway-pae00561: Glycerolipid metabolism', 'KEGG-Pathway-pae00280: Valine, leucine and isoleucine degradation', 'KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00620: Pyruvate metabolism', 'KEGG-Pathway-pae00625: Chloroalkane and chloroalkene degradation', 'KEGG-Pathway-pae00340: Histidine metabolism', 'KEGG-Pathway-pae00310: Lysine degradation', 'KEGG-Pathway-pae00410: beta-Alanine metabolism', 'KEGG-Pathway-pae00010: Glycolysis / Gluconeogenesis']
PA3145	PA14_23460	0.14912026231534484	5.630281825870342e-28	wbpL	least stable	[]
PA3436	PA14_19650	0.418122452129886	1.9958430542460918e-225			[]
PA0973	PA14_51710	0.4127238646389373	3.9809254079291516e-219	oprL		[]
PA5002	PA14_66140	0.4941964699572583	0.0	dnpA		[]
PA5558	PA14_73290	0.4989853830337282	0.0	atpF		['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']
PA1530	PA14_44650	0.2535147412347088	3.1917896560820896e-79			[]
PA4898	PA14_64720	0.2161996152263501	1.318856106563995e-57	opdK		[]
PA2908	PA14_26470	0.4196659339765893	3.0032394965172646e-227	cbiD		['KEGG-Pathway-pae00860: Porphyrin and chlorophyll metabolism']
PA2867	PA14_27000	0.4566880060435658	6.204078986099283e-274			[]
PA1786	PA14_41480	0.4805040450270136	3.5883180111395e-307	nasS		['KEGG-Pathway-pae00910: Nitrogen metabolism']
PA2466	PA14_32740	0.44978503047989504	8.772456169309042e-265	foxA		[]
PA4861	PA14_64300	0.4784566645863004	3.2879409242706344e-304			['KEGG-Module-M00323: Urea transport system']
PA1485	PA14_45240	0.3316008013675492	1.8371508829675857e-137			[]
PA1402	PA14_46300	0.2670996337519653	4.70290043945954e-88			[]
PA1484	PA14_45250	0.306315513087492	1.41914994957482e-116			[]
PA1575	PA14_44130	0.4069443167447208	1.648100941949847e-212			[]
PA1799	PA14_41260	0.3645035925062948	8.980965359294833e-168	parR		['KEGG-Pathway-pae00312: beta-Lactam resistance']
PA1822	PA14_40960	0.487950709177799	4.07116e-318	fimL		[]
PA3641	PA14_17250	0.4157824485515855	1.1092045907773127e-222			[]
PA0177	PA14_02230	0.42722891118714007	2.5586626557416132e-236			['KEGG-Pathway-pae02030: Bacterial chemotaxis']
PA0046	PA14_00580	0.3625167514098825	7.73061926936679e-166			[]
PA2589	PA14_30600	0.27854203472093503	6.634242729775522e-96			[]
PA4365	PA14_56770	0.2874873378966821	2.613068678149959e-102	lysE		[]
PA0878	PA14_52910	0.1522811523145987	4.0709270827256975e-29		least stable	['KEGG-Pathway-pae00660: C5-Branched dibasic acid metabolism']
PA1477	PA14_45350	0.4292048868020676	9.997820582543026e-239	ccmC		[]
PA3464	PA14_19320	0.22066958314994206	5.375281015702502e-60			[]
PA0010	PA14_00110	0.3344355407732878	6.23501537171564e-140	tag		['KEGG-Pathway-pae03410: Base excision repair']
PA1496	PA14_45070	0.28717810007870465	4.390548484215902e-102			[]
