PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label	comparison	median expression	mean expression	variance expression	max expression	min expression	range expression	pathways present
PA14_14200	PA3851	0.3715536064224686	1.0189606385909267e-174				108.816561228434	117.79734505005949	3195.4071021460545	3195.4071021460545	10.1486406076531	3185.2584615384008	[]
PA14_06250	PA0478	0.19182700757413146	1.6979369582273773e-45		least stable	least stable in both	49.93676358728405	59.45879262434527	2266.282994389325	2266.282994389325	4.448915732613821	2261.834078656711	[]
PA14_14160	PA3853	0.6338482748197282	0.0				123.88903521789	126.65066725487391	2384.432047312239	2384.432047312239	19.8593054972985	2364.5727418149404	[]
PA14_73300	PA5559	0.7967867688841072	0.0	atpE		most stable in SPELL	2567.0308838952	4982.538304890179	52106352.43740279	52106352.43740279	61.568085943822496	52106290.86931685	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00157: F-type ATPase, prokaryotes and chloroplasts']
PA14_62710	PA4740	0.8499320160782023	0.0	pnp	most stable	most stable in both	4189.606509702695	4940.10587654733	12564528.441750633	12564528.441750633	181.09432561789	12564347.347425016	['KEGG-Pathway-pae00230: Purine metabolism', 'KEGG-Pathway-pae03018: RNA degradation', 'KEGG-Pathway-pae00240: Pyrimidine metabolism']
PA14_46720	PA1358	0.6338797841460991	0.0				78.31320915620195	97.15964463170738	7512.713570124207	7512.713570124207	5.8766983717190815	7506.836871752488	[]
PA14_62010	PA4688	0.6543243016084584	0.0	hitB			144.6255067867465	165.7874937121466	9694.276153971428	9694.276153971428	23.2931283484549	9670.983025622974	['KEGG-Module-M00190: Iron(III) transport system']
PA14_20470	PA3370	0.7213205937783922	0.0				91.9145794507374	179.62524476059318	63517.58848636268	63517.58848636268	4.55387094840011	63513.034615414275	[]
PA14_12640	PA3960	0.6520359070932558	0.0				19.1869695620076	23.46428911905293	265.2734784754191	265.2734784754191	1.75703680726577	263.5164416681533	[]
PA14_08150	PA0628	0.3529228862213663	1.1694879046935536e-156			most stable in SPELL	286.31670266069295	758.7332942312132	4999594.710731323	4999594.710731323	12.7902805826493	4999581.9204507405	[]
PA14_19610	PA3440	0.7947369489680081	0.0			most stable in SPELL	201.4787529368055	336.92428463030564	204192.5210223371	204192.5210223371	22.803483256943608	204169.71753908016	[]
PA14_48970	PA0720	0.3151136788787155	1.3671688163529016e-123				21.604587148405148	47.96068849822836	177844.62512102106	177844.62512102106	0.30262719449986897	177844.32249382653	[]
