PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	mean expression	standard deviation expression	min expression	25% expression	50% expression	75% expression	max expression	variance expression	range expression	pathways present
PA0118	PA14_01440	0.29044347835367496	1.771504493043692e-104			84.37966596391068	87.01277349362917	0.0	30.805250049925693	56.0834326085596	98.6787936756175	743.5943971060318	7571.222751053615	743.5943971060318	[]
PA1859	PA14_40440	0.1433281144187278	5.986934423742251e-26			106.68790792336556	91.48254943602859	0.0	50.28062693792803	78.02132219615544	118.34571695278376	584.117921222099	8369.056851315418	584.117921222099	[]
PA3190	PA14_22980	0.25750802743576395	9.170620131869675e-82			2974.7285969286436	4619.591490516916	0.0	477.70874779860833	1386.1380597258599	3291.525418972429	41815.1930431362	21340625.53925629	41815.1930431362	[]
PA1009	PA14_51280	0.5499498926985721	0.0			448.62836201538397	387.75581834783895	18.1289030679254	238.0759268050705	370.33844436190145	543.9309494823208	5826.229102095861	150354.57466260233	5808.100199027936	[]
PA1065	PA14_50620	0.3296325963705233	9.18870880432761e-136			105.6048161107514	85.53495626742749	0.0	47.418992992984755	82.90777876004266	144.32272442124452	707.1843031459019	7316.228743670731	707.1843031459019	[]
PA1605	PA14_43740	0.2655213968025987	5.314256719979166e-87			153.46787300063374	151.99175099039078	0.0	60.0850734544831	105.35929564876999	193.54554542059824	1230.9357892170199	23101.49236912496	1230.9357892170199	[]
PA3397	PA14_20140	0.3567772795439351	2.5159042206049144e-160	fprA		1520.9036535934006	1333.3466953849468	120.07288696096501	686.5780175034522	1064.0328264929499	1799.8701890142347	8971.01690747815	1777813.410093958	8850.944020517185	[]
PA5003	PA14_66150	0.507235772589687	0.0			521.5890659508833	348.532580181687	24.4115744501223	296.1364553859937	431.27706706130544	632.4883689861438	4354.8090223645095	121474.9594481041	4330.397447914387	[]
PA0955	PA14_51910	0.5675436799901601	0.0		most stable	541.8588674015068	261.0399909388522	116.19462073635201	371.1526345170983	489.3683502970405	671.2390588610552	2259.90103846413	68141.87686935604	2143.706417727778	[]
PA1802	PA14_41230	0.5939574768377739	0.0	clpX	most stable	10519.402304918236	8392.0752033233	857.5722124463811	5997.8307768458535	8442.478935425996	12391.239787153776	107114.01601102	70426926.21823381	106256.4437985736	[]
PA4556	PA14_60320	0.1460976130635579	6.583258219135372e-27	pilE		310.33960024452625	319.71415441836797	0.0	131.63268327576026	225.93953692815103	393.2339685235288	3264.17624075921	102217.14053545207	3264.17624075921	[]
