Cluster_ID,PA14_ID (for reference),Gene description (PATRIC),Turner K.H. et al 2015,Lee S.A. et al 2015,Skurnik D. et al 2013,Liberati N.T. et al 2006,This study
5262,PA14_00010,Chromosomal replication initiator protein DnaA,E,E,E,E,E
5558,PA14_00020,DNA polymerase III beta subunit (EC 2.7.7.7),E,E,E,,E
8557,PA14_00050,DNA gyrase subunit B (EC 5.99.1.3),E,E,E,,E
3198,PA14_00070,Histidinol-phosphatase (EC 3.1.3.15),,E,,,E
8031,PA14_00090,Glycyl-tRNA synthetase beta chain (EC 6.1.1.14),E,E,E,E,E
4113,PA14_00100,Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14),E,E,,E,E
5889,PA14_00190,Methionyl-tRNA formyltransferase (EC 2.1.2.9),E,E,,E,E
9159,PA14_00240,Threonylcarbamoyl-AMP synthase (EC 2.7.7.87),E,E,E,E,E
9213,PA14_04310,Ribose 5-phosphate isomerase A (EC 5.3.1.6),E,E,E,E,E
5118,PA14_04460,Prolipoprotein diacylglyceryl transferase,E,E,E,,E
4764,PA14_04480,Thymidylate synthase (EC 2.1.1.45),E,E,,E,E
4240,PA14_04580,Dihydrofolate reductase (EC 1.5.1.3),E,E,E,E,E
4913,PA14_04750,Uncharacterized ferredoxin-like protein YfhL,,,,,E
4912,PA14_04760,Phosphopantetheine adenylyltransferase (EC 2.7.7.3),E,E,,E,E
6001,PA14_04900,Signal recognition particle receptor FtsY,,E,,,E
6005,PA14_04930,RNA polymerase sigma factor RpoH,E,E,,,E
6862,PA14_05280,Putative pre-16S rRNA nuclease Yqg,E,E,E,E,E
4807,PA14_05620,Adenosylhomocysteinase (EC 3.3.1.1),,,E,,E
7689,PA14_07090,S-adenosylmethionine synthetase (EC 2.5.1.6),,E,E,,E
3414,PA14_07130,Transketolase (EC 2.2.1.1),E,E,E,,E
4316,PA14_07230,Fructose-bisphosphate aldolase class II (EC 4.1.2.13),E,E,E,E,E
3665,PA14_07520,RNA polymerase sigma factor RpoD,E,E,E,E,E
7420,PA14_07530,DNA primase (EC 2.7.7.-),,E,,,E
3661,PA14_07560,SSU ribosomal protein S21p,,E,E,,E
3658,PA14_07570,N(6)-L-threonylcarbamoyladenine synthase (EC 2.3.1.234),E,E,,E,E
3659,PA14_07590,Dihydroneopterin aldolase (EC 4.1.2.25),E,,E,E,E
5748,PA14_07760,Periplasmic chaperone and peptidyl-prolyl cis-trans isomerase of outer membrane proteins SurA (EC 5.2.1.8),E,E,E,,E
6164,PA14_07770,LPS-assembly protein LptD @ Organic solvent tolerance protein precursor,,E,,,E
3115,PA14_07910,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),E,E,E,E,E
4526,PA14_08400,"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase, coq7 type",E,E,,E,E
4592,PA14_08510,Iron-sulfur cluster insertion protein ErpA,E,E,,E,E
8162,PA14_08620,Biotin operon repressor / Biotin--protein ligase (EC 6.3.4.9)(EC 6.3.4.10)(EC 6.3.4.11)(EC 6.3.4.15),,E,,,E
4291,PA14_08630,"Pantothenate kinase type III, CoaX-like (EC 2.7.1.33)",E,E,E,E,E
4365,PA14_08710,Transcription antitermination protein NusG,E,,E,,E
6783,PA14_08720,LSU ribosomal protein L11p (L12e),E,E,E,E,E
7674,PA14_08730,LSU ribosomal protein L1p (L10Ae),E,E,E,E,E
4696,PA14_08740,LSU ribosomal protein L10p (P0),E,E,E,,E
4691,PA14_08760,DNA-directed RNA polymerase beta subunit (EC 2.7.7.6),E,E,,E,E
3901,PA14_08780,DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6),E,E,,,E
3890,PA14_08790,SSU ribosomal protein S12p (S23e),E,E,E,,E
7663,PA14_08810,SSU ribosomal protein S7p (S5e),E,E,E,E,E
9326,PA14_08820,Translation elongation factor G,E,E,E,,E
6627,PA14_08840,SSU ribosomal protein S10p (S20e),,E,,E,E
6626,PA14_08850,LSU ribosomal protein L3p (L3e),E,E,E,,E
6725,PA14_08860,LSU ribosomal protein L4p (L1e),E,E,E,,E
7509,PA14_08870,LSU ribosomal protein L23p (L23Ae),,E,E,,E
4765,PA14_08880,LSU ribosomal protein L2p (L8e),E,E,E,,E
4034,PA14_08890,SSU ribosomal protein S19p (S15e),,E,E,E,E
7707,PA14_08910,SSU ribosomal protein S3p (S3e),E,E,E,E,E
4981,PA14_08920,LSU ribosomal protein L16p (L10e),E,E,E,E,E
8233,PA14_08940,SSU ribosomal protein S17p (S11e),,E,E,E,E
4957,PA14_08950,LSU ribosomal protein L14p (L23e),,E,E,E,E
8240,PA14_08960,LSU ribosomal protein L24p (L26e),,E,E,E,E
8479,PA14_08970,LSU ribosomal protein L5p (L11e),E,E,E,E,E
7599,PA14_08980,"SSU ribosomal protein S14p (S29e) @ SSU ribosomal protein S14p (S29e), zinc-independent",,E,E,E,E
7598,PA14_08990,SSU ribosomal protein S8p (S15Ae),E,E,E,,E
7633,PA14_09000,LSU ribosomal protein L6p (L9e),E,E,E,E,E
4881,PA14_09010,LSU ribosomal protein L18p (L5e),,E,E,E,E
7602,PA14_09020,SSU ribosomal protein S5p (S2e),E,E,E,,E
7601,PA14_09050,Protein translocase subunit SecY,E,E,E,,E
4611,PA14_09080,SSU ribosomal protein S13p (S18e),E,E,E,E,E
3789,PA14_09090,SSU ribosomal protein S11p (S14e),E,E,E,E,E
3670,PA14_09100,"SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent",E,E,E,,E
3573,PA14_09115,DNA-directed RNA polymerase alpha subunit (EC 2.7.7.6),E,E,E,,E
3574,PA14_09130,LSU ribosomal protein L17p,E,E,,E,E
4390,PA14_11400,Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26) / 5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193),,E,,E,E
8841,PA14_11410,Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9),,E,E,E,E
7526,PA14_11450,Transcription termination protein NusB,E,E,E,E,E
4391,PA14_11460,Thiamine-monophosphate kinase (EC 2.7.4.16),E,E,,E,E
6646,PA14_11510,GTP cyclohydrolase II (EC 3.5.4.25),,,,E,E
4408,PA14_11550,1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7),E,E,,E,E
7907,PA14_11690,Inorganic pyrophosphatase (EC 3.6.1.1),E,E,,,E
9032,PA14_12060,"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4)",E,E,E,,E
6281,PA14_12070,Rod shape-determining protein RodA,E,E,,,E
