	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	mean expression_pao1	standard deviation expression_pao1	min expression_pao1	25% expression_pao1	50% expression_pao1	75% expression_pao1	max expression_pao1	variance expression_pao1	range expression_pao1	pathways present_pao1	Related acc genes_pao1	mean expression_p14	standard deviation expression_p14	25% expression_p14	50% expression_p14	75% expression_p14	min expression_p14	max expression_p14	variance expression_p14	range expression_p14	pathways present_p14	Related acc genes_p14
PA0118	PA14_01440	0.29044347835367496	1.7715044930436906e-104			84.37966596391068	87.01277349362917	0.0	30.80525004992569	56.0834326085596	98.6787936756175	743.5943971060318	7571.222751053615	743.5943971060318	[]		55.48908974500196	80.36873938306465	23.079151327578106	38.1078974701789	57.9336317594924	0.0	662.245142902155	6459.134270022968	662.245142902155	[]
PA1859	PA14_40440	0.1433281144187278	5.986934423742251e-26			106.68790792336556	91.48254943602859	0.0	50.28062693792803	78.02132219615544	118.34571695278376	584.117921222099	8369.056851315418	584.117921222099	[]		88.05172080072357	57.02816764300538	51.0718427402472	72.5753260466842	105.626427753792	0.0	400.928715599354	3252.211904718725	400.928715599354	[]
PA3190	PA14_22980	0.25750802743576395	9.170620131869675e-82			2974.7285969286436	4619.591490516916	0.0	477.70874779860833	1386.1380597258599	3291.525418972429	41815.1930431362	21340625.53925629	41815.1930431362	['path:pae02010 : ABC transporters']		3732.671534303305	5428.865873880198	682.520390411595	2268.79046887668	5222.39059583948	0.0	77365.3713366603	29472584.67658101	77365.3713366603	['path:pau02010 : ABC transporters']
PA1009	PA14_51280	0.5499498926985721	0.0			448.62836201538397	387.75581834783895	18.1289030679254	238.0759268050705	370.33844436190145	543.9309494823208	5826.229102095861	150354.57466260233	5808.100199027936	[]		361.17234708207184	282.6157207884936	170.776065201503	274.44359770538	462.828788395812	13.8719884681469	2095.67911433444	79871.64563679977	2081.807125866293	[]
PA1065	PA14_50620	0.3296325963705233	9.188708804327605e-136			105.6048161107514	85.53495626742749	0.0	47.41899299298476	82.90777876004266	144.32272442124452	707.1843031459019	7316.228743670731	707.1843031459019	[]		90.20250470899914	86.03779218822233	40.8569297532599	74.8326721451867	115.490996492681	3.1048260433387	1253.53565695416	7402.5016846237295	1250.4308309108212	[]
PA1605	PA14_43740	0.2655213968025987	5.314256719979166e-87			153.46787300063374	151.99175099039078	0.0	60.0850734544831	105.35929564877001	193.54554542059824	1230.9357892170199	23101.49236912496	1230.9357892170199	[]		143.43530079400637	119.29179126237015	59.492644031384295	115.058066619548	184.161074968352	0.0	718.062038843668	14230.531462584895	718.062038843668	[]
PA3397	PA14_20140	0.3567772795439351	2.5159042206049125e-160	fprA		1520.9036535934006	1333.3466953849468	120.07288696096501	686.5780175034522	1064.0328264929499	1799.8701890142347	8971.01690747815	1777813.410093958	8850.944020517185	[]		1206.825403495859	852.0899798318103	613.4163511631771	974.28988151348	1534.65140087805	58.517750349633104	6207.9956994599	726057.3337297747	6149.477949110266	[]
PA5003	PA14_66150	0.507235772589687	0.0			521.5890659508833	348.532580181687	24.4115744501223	296.1364553859937	431.27706706130544	632.4883689861438	4354.8090223645095	121474.9594481041	4330.397447914387	[]		558.8751546624272	251.4535563875222	378.11662538479203	534.035655282369	700.183608156735	20.3060982976505	2486.85299686066	63228.89101993281	2466.5468985630096	[]
PA0955	PA14_51910	0.5675436799901601	0.0		most stable	541.8588674015068	261.0399909388522	116.19462073635201	371.1526345170983	489.3683502970405	671.2390588610552	2259.90103846413	68141.87686935604	2143.706417727778	[]		556.8671551028978	222.87534415109158	400.208196666198	507.589306691851	706.009684317733	63.0965023470611	1399.50436700535	49673.41903046753	1336.407864658289	[]
PA1802	PA14_41230	0.5939574768377739	0.0	clpX	most stable	10519.402304918236	8392.0752033233	857.5722124463811	5997.830776845854	8442.478935425996	12391.239787153776	107114.01601102	70426926.21823381	106256.4437985736	[]		13242.45237360559	10127.261456938531	7841.035221158028	11365.624051106299	15442.6882991893	1230.6366612833501	119365.574613885	102561424.6171928	118134.93795260164	[]
