PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	median expression	mean expression	variance expression	max expression	min expression	range expression	pathways present
PA4275	PA14_08710	0.8574166013241328	0.0	nusG	most stable	2050.66290825114	2954.7594067591212	9010696.407930003	9010696.407930003	58.69046709778971	9010637.717462907	[]
PA2393	PA14_33730	0.5515349807289802	0.0		most stable	68.3824423790784	414.8445917895411	998191.2978642656	998191.2978642656	1.08390590785372	998190.2139583578	[]
PA4025	PA14_11760	0.7616002827409538	0.0		most stable	105.67842669806	140.51454475383272	21728.41517237328	21728.41517237328	0.6414401794284289	21727.773732193848	['KEGG-Pathway-pae00564: Glycerophospholipid metabolism']
PA4722	PA14_62480	0.14615849121130167	6.2683638234460885e-27		least stable	318.711508469558	363.58913333564317	40432.8688116214	40432.8688116214	39.492370885595896	40393.3764407358	[]
PA5360	PA14_70750	0.4092057603445818	4.3997192337111204e-215	phoB		175.031557675196	272.8667302698335	155817.75314030168	155817.75314030168	0.7131170229277309	155817.04002327874	[]
PA2092	PA14_37440	0.8036297631526225	0.0		most stable	16.8212983799861	40.569102470422	4547.3889962553385	4547.3889962553385	0.209768480626356	4547.179227774711	[]
PA5223	PA14_68980	0.5718346335513106	0.0	ubiH	most stable	537.1022374622149	605.4675686751146	109756.66944568949	109756.66944568949	50.6378729930529	109706.03157269645	['KEGG-Pathway-pae00130: Ubiquinone and other terpenoid-quinone biosynthesis']
PA2397	PA14_33690	0.4873751407234164	2.920094e-317	pvdE		161.44572926375	531.6981371410254	1093090.2430468332	1093090.2430468332	0.0871953139390681	1093090.1558515192	[]
PA3356	PA14_20670	0.6905910352611103	0.0	pauA5	most stable	540.996411634113	631.6106002307764	198058.15219523065	198058.15219523065	78.23709588302391	197979.91509934762	['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00630: Glyoxylate and dicarboxylate metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism', 'KEGG-Pathway-pae00910: Nitrogen metabolism']
PA3860	PA14_14060	0.6874730085372489	0.0		most stable	200.488207230333	241.21622359019062	36838.59200003783	36838.59200003783	21.1675259211382	36817.42447411669	[]
PA0934	PA14_52180	0.5852287669940388	0.0	relA	most stable	1778.88594606159	1935.109131738162	1231144.2278186032	1231144.2278186032	1.38230384832982	1231142.8455147548	['KEGG-Pathway-pae00230: Purine metabolism']
PA0826	PA14_53620	0.5927222670753771	0.0		most stable	100.620071443027	197.55030708419991	118478.18258047555	118478.18258047555	0.0621964880526312	118478.12038398748	[]
PA1856	PA14_40510	0.3612292722771098	1.36361619503866e-164			90.7864271236636	227.26237226803292	970919.3660238045	970919.3660238045	4.74891306673628	970914.617110738	['KEGG-Pathway-pae00190: Oxidative phosphorylation', 'KEGG-Module-M00156: Cytochrome c oxidase, cbb3-type']
PA3135	PA14_23540	0.5661047630397114	0.0		most stable	99.1746853590711	111.88977836605544	3220.244106585099	3220.244106585099	9.510881014950538	3210.7332255701485	[]
PA1652	PA14_43150	0.5067317354343126	0.0		most stable	58.6809153572229	70.00123869201299	2308.8893359406397	2308.8893359406397	0.8310151068512209	2308.058320833789	[]
PA3928	PA14_13050	0.6757957516505644	0.0		most stable	56.2157608076396	129.74918469498263	41187.5451592879	41187.5451592879	1.3856972240560002	41186.15946206385	[]
PA3324	PA14_21050	0.8252043687337981	0.0		most stable	75.3853806076762	111.70910005228018	13269.327017417605	13269.327017417605	8.08411732303756	13261.242900094563	[]
