PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label	mean expression	standard deviation expression	min expression	25% expression	50% expression	75% expression	max expression	variance expression	range expression	pathways present
PA14_01690	PA0138	0.3980726116689055	1.4449979796263855e-202			48.146301883205865	144.11033102407674	2.17083627078335	13.137108479223526	23.539018807276047	48.905936337455074	2527.6890596536	20767.787507868976	2525.5182233828173	[]
PA14_05540	PA0426	0.2838196694924696	1.2304007101915728e-99	mexB		4072.376017249441	2557.907830612108	265.981639580477	2333.523085292225	3525.3369626288795	5254.590539118086	18765.6379831294	6542892.469906743	18499.656343548922	['KEGG-Pathway-pae00312: beta-Lactam resistance', 'KEGG-Module-M00647: Multidrug resistance, efflux pump MexAB-OprM/SmeDEF/AcrAB-TolC']
PA14_19630	PA3438	0.3261666473556932	8.899236579113579e-133	folE1		335.20874885487467	310.82410681442553	13.523228773791699	166.45665524339648	231.03220082473845	347.3615377187075	2252.07792311333	96611.62537698536	2238.5546943395384	['KEGG-Pathway-pae00790: Folate biosynthesis', 'KEGG-Module-M00126: Tetrahydrofolate biosynthesis, GTP => THF']
PA14_12730	PA3953	0.2996290917857223	2.3005387032102367e-111			24.353518070033704	18.451461043407253	2.14558718143549	12.714652017560828	20.589063277393194	31.881316323077225	248.12233294939705	340.4564146363755	245.97674576796157	[]
PA14_69780	PA5286	0.4682238416134322	1.1916676105527378e-289			397.2973384618096	490.41827046854416	15.377551094639001	112.32504666831223	232.8727074215655	436.55760748253687	3209.14865884698	240510.0800093582	3193.771107752341	[]
PA14_21640	PA3277	0.35272149933148844	1.805788160410556e-156			144.7299776990691	154.37675843151004	21.236657352982398	73.65851763189806	110.40576587274201	161.05487627062726	1681.1297116707	23832.183543820807	1659.893054317718	[]
PA14_05020	PA0384	0.3745479365229433	9.815884555954043e-178			36.103387258574905	27.325297529996124	2.9383491858595403	18.06640350161827	28.623572263092203	45.48128579213766	197.02132034485905	746.6718851028119	194.08297115899947	[]
PA14_60710	PA4588	0.2320031601573624	2.7679582832174095e-66	gdhA		272.6024004811642	252.20521915991776	46.20005647490578	135.97811399853427	193.7612262629655	300.3004442107608	2295.71055056284	63607.47257150215	2249.510494087934	['KEGG-Pathway-pae00330: Arginine and proline metabolism', 'KEGG-Pathway-pae00250: Alanine, aspartate and glutamate metabolism', 'KEGG-Pathway-pae00910: Nitrogen metabolism']
PA14_62690	PA4739	0.4126375050157255	5.500397489149047e-219			15066.564141812143	69303.55348723398	59.062213210924995	717.522187703559	3981.53565651538	11850.246301576499	957979.565291177	4802982525.957903	957920.5030779659	[]
PA14_50540	PA1072	0.530744136669983	0.0	livM	most stable	436.2084571032247	356.31730405397775	32.564053423615796	168.977043208032	297.2075506566635	684.7489482704623	2693.34249186772	126962.02116829484	2660.7784384441047	['KEGG-Module-M00237: Branched-chain amino acid transport system']
PA14_60190	PA4542	0.473243416120517	1.0562303730986517e-296	clpB		6902.150395346248	15323.344033132136	119.14377622348499	1464.6711766598576	3303.454700646089	7406.071724285404	216209.568221239	234804872.35772625	216090.4244450155	[]
PA14_38395	PA2019	0.1834826303160011	1.0407008538400552e-41		least stable	88.6225854558556	223.40429135274704	0.4482160608235461	19.069785977282894	36.44939435668395	72.83388371274367	2947.21405692322	49909.47739482309	2946.765840862396	['KEGG-Pathway-pae00312: beta-Lactam resistance']
PA14_47120	PA1324	0.4550126697065306	1.2115023813808974e-271			1769.7821601166872	3488.5950915626386	0.3765134035650941	176.37916658570225	696.0964634450305	2090.7341116525727	32770.6088435611	12170295.712874934	32770.23233015754	[]
