PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label	comparison	mean expression	standard deviation expression	min expression	25% expression	50% expression	75% expression	max expression	variance expression	range expression
PA0984	PA14_59230	0.4696906852130242	9.40342194398514e-292				107.31532121398276	127.88070681435566	0.0576251826115012	31.0980365178968	62.7499345243665	132.419218156143	964.116694327575	16353.47517533919	964.0590691449636
PA0680	PA14_55500	0.6725923886345215	0.0	hxcV			12.210569773454253	21.4165391548219	0.14020680308678699	2.6589672238134905	6.1377382813635375	13.3851373103474	467.8147535124321	458.6681493700196	467.6745467093453
PA0847	PA14_53310	0.7675078915110202	0.0				220.116196803283	127.67712245080824	36.74620701331021	126.098476451143	187.96872771175	283.286092049255	931.7247758898019	16301.447597318682	894.9785688764916
PA0164	PA14_02050	0.7037634393637845	0.0				138.16805478030994	118.9497093706076	10.463200400519401	67.0681500449333	107.041218022333	166.679646263129	1260.64229634591	14149.033359352012	1250.1790959453906
PA1160	PA14_49400	0.2284367070360909	2.8194713903134186e-64				155.42036957688387	103.16581387478114	1.9055166168814799	85.39772011056459	137.427645073129	203.532853719941	1044.07406699919	10643.185152445983	1042.1685503823087
PA3589	PA14_17880	0.8323080179381996	0.0		most stable	most stable in counts	27.93745529218733	42.8651386858997	0.313330092404152	7.58519034298255	12.9970549134235	25.8230680078793	398.8710535049089	1837.4201145614152	398.55772341250474
PA1088	PA14_50330	0.4806611975721927	2.12176180659228e-307				482.9481955359256	529.0249976719031	0.0871953139390681	217.466591134817	358.771538199153	540.223155402992	4859.8574269929795	279867.448161757	4859.77023167904
PA2923	PA14_26240	0.8768852328821664	0.0	hisJ	most stable	most stable in counts	18.977698057285988	26.531355724226376	0.665395593112025	4.33235163780782	8.05147919624295	17.8726838998778	198.89512934716092	703.9128365654396	198.22973375404888
PA3832	PA14_14460	0.3648418531735457	4.193088759423601e-168	holC			143.95684699182044	96.87722912467557	17.1709926246005	79.6408894171104	119.441379833916	178.836626382294	864.671728928737	9385.197522874887	847.5007363041366
PA1667	PA14_42920	0.6696485859380855	0.0	hsiJ2			211.7226441861585	210.32172503407642	7.622375101836178	89.74433420364491	153.40092272335698	252.60036148827092	2697.0784686504003	44235.228021309646	2689.4560935485642
PA3731	PA14_16150	0.366821120115512	4.774776816469672e-170				552.9374726381938	543.7191658105012	33.9732354281075	198.23528596864497	404.570282673583	702.3003127651268	4990.27790869405	295630.53126966726	4956.304673265942
PA1466	PA14_45470	0.4970972470479305	0.0			least stable in SPELL	74.88983489401507	76.18838664955899	1.6620302137024399	31.577771646658398	60.4058749292133	93.5968073428305	889.720034973357	5804.670260262699	888.0580047596545
PA4506	PA14_58490	0.5186774657952292	0.0	dppF			288.61693879350156	318.5284936781529	2.8155697309283503	129.946676375129	191.749549283607	322.733164403013	3770.9508804722295	101460.4012848731	3768.135310741301
