PAO1 id	PA14 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA4275	PA14_08710	0.8574166013241328	0.0	nusG	most stable
PA2393	PA14_33730	0.5515349807289802	0.0		most stable
PA4025	PA14_11760	0.7616002827409538	0.0		most stable
PA4722	PA14_62480	0.14615849121130167	6.268363823446089e-27		least stable
PA5360	PA14_70750	0.4092057603445818	4.399719233711126e-215	phoB
PA2092	PA14_37440	0.8036297631526225	0.0		most stable
PA5223	PA14_68980	0.5718346335513106	0.0	ubiH	most stable
PA2397	PA14_33690	0.48737514072341637	2.920094e-317	pvdE
PA3356	PA14_20670	0.6905910352611103	0.0	pauA5	most stable
PA3860	PA14_14060	0.6874730085372489	0.0		most stable
PA0934	PA14_52180	0.5852287669940388	0.0	relA	most stable
PA0826	PA14_53620	0.5927222670753771	0.0		most stable
PA1856	PA14_40510	0.3612292722771098	1.3636161950386609e-164
PA3135	PA14_23540	0.5661047630397114	0.0		most stable
PA1652	PA14_43150	0.5067317354343126	0.0		most stable
PA3928	PA14_13050	0.6757957516505644	0.0		most stable
PA3324	PA14_21050	0.8252043687337981	0.0		most stable
PA2990	PA14_25400	0.6056187546626062	0.0		most stable
PA1667	PA14_42920	0.6696485859380855	0.0	hsiJ2	most stable
PA3781	PA14_15180	0.6856088793376263	0.0		most stable
PA5296	PA14_69910	0.8505038301106499	0.0	rep	most stable
PA3463	PA14_19330	0.4744963174774912	1.5472782576349725e-298
PA5386	PA14_71140	0.8760606390794267	0.0	cdhA	most stable
PA1777	PA14_41570	0.6615960172539566	0.0	oprF	most stable
PA1172	PA14_49270	0.720605723896975	0.0	napC	most stable
PA1234	PA14_48320	0.3973094766766049	9.127680460106356e-202
PA4548	PA14_60270	0.7079086631299487	0.0		most stable
PA2427	PA14_33250	0.6574303027025411	0.0		most stable
PA3675	PA14_16830	0.7423273911800516	0.0		most stable
PA2302	PA14_34840	0.8118299212775747	0.0	ambE	most stable
PA1894	PA14_40030	0.3773019666877291	1.432345811648137e-180
PA2378	PA14_33900	0.44155219791620715	3.832594215963144e-254
PA1613	PA14_43650	0.6678737684778888	0.0		most stable
PA4573	PA14_60520	0.814799442170849	0.0		most stable
