PA14 id	PAO1 homolog id	Transcriptional similarity across strains	P-value	Name	label
PA14_68200	PA5163	0.7150839237232024	0.0	rmlA	most stable
PA14_69780	PA5286	0.6305473968316047	0.0		most stable
PA14_55200	PA0704	0.793461781116735	0.0		most stable
PA14_42320	PA1718	0.5508051735908209	0.0	pscE	most stable
PA14_14700	PA3816	0.7480906151141073	0.0	cysE	most stable
PA14_03220	PA0262	0.4895425029466897	1.969e-320
PA14_09990	PA4166	0.4246481555120201	3.7346317940329437e-233
PA14_57870	PA4455	0.8225061766136201	0.0		most stable
PA14_01310	PA0107	0.8120581345537313	0.0		most stable
PA14_37100	PA2124	0.8562290335650535	0.0		most stable
PA14_38825	PA1985	0.5231877030568577	0.0	pqqA	most stable
PA14_64980	PA4920	0.3574154772448778	6.6538395905839996e-161	nadE
PA14_65630	PA4965	0.7537218764134539	0.0		most stable
PA14_34000	PA2370	0.8678548008858651	0.0	hsiH3	most stable
PA14_20820	PA3343	0.568830170738574	0.0		most stable
PA14_49650	PA1140	0.42661915757650243	1.5543139324003722e-235
PA14_55150	PA0708	0.2265909635592365	3.1155857878380084e-63
PA14_24600	PA3054	0.5744954698410598	0.0		most stable
PA14_64820	PA4906	0.550744533245728	0.0		most stable
PA14_69925	PA5297	0.5494512486115615	0.0	poxB	most stable
PA14_20030	PA3406	0.731801801555817	0.0	hasD	most stable
PA14_56690	PA4359	0.4093289280621667	3.487761126280404e-215	feoA
PA14_45800	PA1443	0.6957911405004839	0.0	fliM	most stable
PA14_35030	PA2285	0.5424040595223601	0.0		most stable
PA14_34680	PA2317	0.7031799740953367	0.0		most stable
PA14_17150	PA3648	0.7029593533256254	0.0		most stable
PA14_13390	PA3904	0.2699836541383232	5.571142499557111e-90
PA14_49410	PA1159	0.49511647323488484	0.0
PA14_12150	PA3994	0.819943384571167	0.0		most stable
PA14_00820	PA0070	0.6409523144114149	0.0		most stable
PA14_49890	PA1120	0.4569802219838168	2.8284668528459294e-274	tpbB
PA14_53190	PA0857	0.464463099514461	1.919460300580593e-284	bolA
PA14_50980	PA1032	0.5756200036263572	0.0	pac	most stable
PA14_11180	PA4074	0.8074361169430275	0.0		most stable
PA14_61510	PA4649	0.6811958108360374	0.0		most stable
PA14_02620	PA0214	0.7439449788823689	0.0		most stable
PA14_18610	PA3537	0.6213688099721235	0.0	argF	most stable
PA14_47920	PA1260	0.6741985047567982	0.0		most stable
PA14_46230	PA1409	0.6339756994279996	0.0	aphA	most stable
PA14_58570	PA4514	0.44053760463236974	8.345608495118834e-253
PA14_36390	PA2179	0.6125936947872742	0.0		most stable
PA14_15240	PA3776	0.7348767678971352	0.0		most stable
PA14_50130	PA1102	0.6150269326828335	0.0	fliG	most stable
PA14_19530	PA3446	0.2402982579631655	4.0762491494575804e-71
PA14_02700	PA0221	0.8507625357769073	0.0		most stable
PA14_18050	PA3576	0.6008510443742335	0.0		most stable
PA14_34450	PA2332	0.6155262247341092	0.0		most stable
PA14_07210	PA0554	0.611382138272922	0.0		most stable
PA14_06330	PA0486	0.28940052628791957	1.085263077685208e-103
PA14_13590	PA3890	0.41267868964712223	4.929401906608026e-219
PA14_71990	PA5453	0.6019449798738801	0.0	gmd	most stable
PA14_45640	PA1454	0.6616529811029142	0.0	fleN	most stable
PA14_29830	PA2650	0.6793225552881011	0.0		most stable
PA14_11660	PA4034	0.13653352701143937	1.1324422997132116e-23	aqpZ	least stable
PA14_69240	PA5243	0.7540871101388493	0.0	hemB	most stable
PA14_26470	PA2908	0.601789758461993	0.0	cbiD	most stable
PA14_36410	PA2178	0.6959504322494027	0.0		most stable
PA14_17550	PA3615	0.6761202163712361	0.0		most stable
PA14_23630	PA3130	0.6012636288268524	0.0		most stable
PA14_53670	PA0820	0.5843661639141835	0.0		most stable
PA14_33600	PA2403	0.42534957856396854	5.331401202786231e-234
PA14_60800	PA4595	0.6171655338856734	0.0		most stable
PA14_47160	PA1320	0.42209201314218714	4.326684580332076e-230	cyoD
PA14_67770	PA5131	0.6057769994884402	0.0	pgm	most stable
PA14_16780	PA3679	0.7568390301427707	0.0		most stable
PA14_32230	PA2508	0.5790140038822217	0.0	catC	most stable
PA14_06770	PA0520	0.45767251457108166	3.3222197047988877e-275	nirQ
PA14_30140	PA2627	0.7926196453240881	0.0		most stable
PA14_49590	PA1145	0.43066729234144396	1.7860437214027317e-240
PA14_51350	PA1002	0.5701118995166252	0.0	phnB	most stable
PA14_20491	PA3368	0.40216493093934474	4.257218810756589e-207
PA14_29410	PA2683	0.11335453711428174	9.214619654057398e-17		least stable
PA14_20740	PA3350	0.46830942007371307	9.055334213656676e-290	flgA
PA14_08480	PA0662	0.7524217426624267	0.0	argC	most stable
PA14_06940	PA0532	0.21571228108475984	2.4428901466301399e-57
PA14_58470	PA4505	0.5832625957816346	0.0	dppD	most stable
PA14_36580	PA2164	0.654890550267674	0.0		most stable
PA14_11910	PA4015	0.4143191754244197	6.184800888390179e-221
PA14_04780	PA0364	0.3033501944823519	3.0999347377366724e-114
PA14_30010	PA2638	0.7614878809229257	0.0	nuoB	most stable
PA14_38470	PA2013	0.6710865864599944	0.0	gnyH	most stable
PA14_22690	PA3210	0.7239765997989723	0.0	trkH	most stable
PA14_05180	PA0395	0.7037658706466987	0.0	pilT	most stable
PA14_24210	PA3089	0.7853504616448941	0.0		most stable
PA14_43460	PA1628	0.7970053696275646	0.0		most stable
PA14_15340	PA3769	0.8445852478393762	0.0	guaA	most stable
PA14_44420	PA1551	0.6588995948632532	0.0		most stable
PA14_30670	PA2584	0.7942929385702607	0.0	pgsA	most stable
PA14_63030	PA4765	0.8168617403772135	0.0	omlA	most stable
PA14_37010	PA2131	0.8025784977915459	0.0	cupA4	most stable
PA14_43640	PA1614	0.43922133034535443	3.8865549292599e-251	gpsA
PA14_56050	PA4313	0.3659086265883931	4.0546637700608266e-169
PA14_28080	PA2785	0.28914049441327283	1.6846579500020934e-103
PA14_07890	PA0605	0.23389542960907647	2.2724917236759648e-67
PA14_71120	PA5385	0.8457520507366769	0.0		most stable
PA14_63190	PA4779	0.574451698532554	0.0		most stable
PA14_46380	PA1395	0.7009893329606388	0.0		most stable
PA14_33540	PA2409	0.33382755402967124	2.2508805524162022e-139
PA14_34930	PA2293	0.8527023952910726	0.0		most stable
PA14_19990	PA3410	0.2749869228064705	2.0837899095862223e-93
PA14_69020	PA5226	0.7744881961684518	0.0		most stable
PA14_25610	PA2972	0.20704568166752527	7.208866044228214e-53
PA14_60400	PA4563	0.8217694523743708	0.0	rpsT	most stable
PA14_29040	PA2715	0.8114440339381889	0.0		most stable
PA14_54740	PA0737	0.41237403210418305	1.1085343729856812e-218
PA14_63280	PA4787	0.43489457016730915	1.0498169877188695e-245
PA14_67680	PA5125	0.6111832083294199	0.0	ntrC	most stable
PA14_04100	PA0315	0.4560906409933144	4.40135103851988e-273
PA14_03180	PA0986	0.11801774544744044	4.76349677229454e-18		least stable
PA14_68460	PA5183	0.3441181406128209	1.5443977054041967e-148
PA14_23900	PA3109	0.7633972417134547	0.0	cvpA	most stable
PA14_52940	PA0875	0.8058338210647636	0.0		most stable
PA14_52840	PA0884	0.6392227578005054	0.0		most stable
PA14_66350	PA5020	0.45523909412044894	6.0442427477031e-272
PA14_28300	PA2768	0.7899275453527325	0.0		most stable
PA14_11370	PA4058	0.6040779222477884	0.0		most stable
PA14_53740	PA0814	0.8375358040766981	0.0		most stable
PA14_53940	PA0796	0.6514110404720386	0.0	prpB	most stable
PA14_07410	PA0570	0.5928820827873361	0.0		most stable
PA14_12350	PA3980	0.8579607015188645	0.0		most stable
PA14_48910	PA0726	0.46972195048348275	9.631021715590336e-292
PA14_23690	PA3125	0.577906901625796	0.0		most stable
PA14_09400	PA4217	0.5936164680153263	0.0	phzS	most stable
PA14_64670	PA4893	0.6971927786574006	0.0	ureG	most stable
PA14_56030	PA4311	0.7535356269890964	0.0		most stable
PA14_55670	PA4284	0.5654912883288313	0.0	recB	most stable
PA14_10330	PA4144	0.7161832285905834	0.0		most stable
PA14_65750	PA4974	0.7863613997215807	0.0		most stable
PA14_20890	PA3337	0.6413128219341193	0.0	rfaD	most stable
PA14_10020	PA4164	0.10699426140769579	4.322921123382812e-15		least stable
PA14_00650	PA0052	0.7959251921263195	0.0		most stable
PA14_63170	PA4778	0.344298509129275	1.059291025839992e-148
PA14_00240	PA0022	0.5293055795473107	0.0		most stable
PA14_56640	PA4355	0.38750220386078477	3.7171780772707935e-191
PA14_19720	PA3428	0.7087776555992205	0.0		most stable
PA14_03000	PA0242	0.6986486707859197	0.0		most stable
PA14_23220	PA3171	0.6513361772266588	0.0	ubiG	most stable
PA14_46830	PA1349	0.8569219004222404	0.0		most stable
PA14_25210	PA3004	0.6202223618548554	0.0		most stable
PA14_41650	PA1771	0.8428267986329622	0.0		most stable
PA14_50940	PA1035	0.749586198078225	0.0		most stable
PA14_54480	PA0759	0.6153248126960261	0.0		most stable
PA14_48760	PA1202	0.49971436316775136	0.0
PA14_33560	PA2407	0.40405080170085317	3.3085294978591444e-209
PA14_36460	PA2175	0.6290586521635768	0.0		most stable
PA14_56080	PA4316	0.7305630001568642	0.0	sbcB	most stable
PA14_37120	PA2123	0.5821353115329485	0.0		most stable
PA14_42470	PA1706	0.4639894554125656	8.597230192218118e-284	pcrV
PA14_20190	PA3393	0.4889192771670496	1.68047e-319	nosD
PA14_65570	PA4961	0.7705627604778434	0.0		most stable
PA14_34190	PA2356	0.674092706754235	0.0	msuD	most stable
PA14_65190	PA4936	0.615055867584953	0.0		most stable
PA14_18620	PA3536	0.06205458828058346	5.588998117952803e-06		least stable
PA14_61460	PA4645	0.8316693672843378	0.0		most stable
PA14_14810	PA3808	0.5466942009462983	0.0		most stable
PA14_14650	PA3820	0.8503630227666887	0.0	secF	most stable
PA14_45770	PA1446	0.5715114867869466	0.0	fliP	most stable
PA14_48830	PA1196	0.3707943376649296	5.860117307269805e-174
PA14_08320	PA0647	0.5265038070644102	0.0		most stable
PA14_51270	PA1010	0.8188368763350271	0.0	dapA	most stable
PA14_34640	PA2321	0.4452184823340822	8.498305169750446e-259
PA14_40080	PA1889	0.21209335410555644	1.8994570362628056e-55
PA14_05110	PA0391	0.5896402969816442	0.0		most stable
PA14_68860	PA5214	0.49451115310532834	0.0	gcvH1
PA14_40200	PA1880	0.7768700426710221	0.0		most stable
PA14_51150	PA1019	0.7415619222156192	0.0	mucK	most stable
PA14_04960	PA0379	0.6752105821111649	0.0		most stable
PA14_10010	PA4165	0.8113833931619481	0.0		most stable
PA14_55840	PA4298	0.66801408302311	0.0		most stable
PA14_40330	PA1867	0.8281112925074885	0.0		most stable
PA14_19330	PA3463	0.474281280922956	3.5548142093025537e-298
PA14_40690	PA1842	0.493338941447501	0.0
PA14_68420	PA5179	0.4842432868241942	1.41540618414e-312
PA14_19740	PA3426	0.8172043156800544	0.0		most stable
PA14_26270	PA2921	0.4099194782891907	7.362853588525786e-216
PA14_50640	PA1063	0.45578509603602324	1.1277127162415577e-272
PA14_40710	PA1840	0.6394565526386398	0.0		most stable
PA14_14530	PA3825	0.6466822188924478	0.0		most stable
PA14_57930	PA4461	0.8051116938588762	0.0		most stable
PA14_27440	PA2834	0.3097337128806501	2.936776550949808e-119
PA14_09350	PA4220	0.7420856564378112	0.0		most stable
PA14_46480	PA1374	0.20268847079335353	1.0723258913304931e-50
PA14_71960	PA5451	0.6468025150890919	0.0	wzm	most stable
PA14_29880	PA2647	0.813428514011439	0.0	nuoL	most stable
PA14_60370	PA4560	0.8374135141832768	0.0	ileS	most stable
PA14_53910	PA0798	0.8420980267815464	0.0	pmtA	most stable
PA14_67100	PA5079	0.41657767183371663	1.4324304678806092e-223
PA14_19770	PA3424	0.7799297031199184	0.0		most stable
PA14_26500	PA2905	0.7521440834884447	0.0	cobH	most stable
PA14_16320	PA3717	0.7711848849071925	0.0		most stable
PA14_71230	PA5395	0.808243131137067	0.0		most stable
PA14_43690	PA1609	0.6735638951961892	0.0	fabB	most stable
PA14_72940	PA5529	0.6847063270761136	0.0		most stable
PA14_08460	PA0660	0.5231305899692805	0.0		most stable
